#,Family,Capacity (ml),Neck finish,Glass finish,Variant,Height without cap (mm),Tolerance (± mm),"Height with cap, min (mm)","Height with cap, max (mm)",Diameter (mm),Governing SKU,Governing product,SKUs on this glass,Glass colours,Heights recorded across its SKUs,SKUs with a different height,Measurement source,Status,Notes
12,Bell,10,13-415,Standard,,55.0,1.0,20.0,66.0,27.0,GBBell10BlkShSht,"Bell design 10ml Clear glass bottle with short shiny black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",4,Clear,55 mm × 4,,master truth × 4,OK,
13,Boston Round,15,18-400,Standard,,68.0,1.0,72.0,91.0,25.0,GBBstn15BlkCapSht,"Boston round design 15ml, 1/2 oz  Clear glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy. Price each",16,"Amber, Clear, Cobalt Blue",68 mm × 16,,master truth × 16,OK,
14,Boston Round,30,20-400,Standard,,78.0,1.0,78.0,102.0,33.0,GBBstn1ozBlkDrp,"Boston round design 30ml, 1oz Clear glass bottle with black dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",53,"Amber, Clear, Cobalt Blue",68 mm × 1; 78 mm × 52,GBBstn1ozBlkCapSht (68 mm),master truth × 52; none × 1,Heights disagree,"most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
15,Boston Round,60,20-400,Standard,,94.0,1.0,110.0,117.0,39.0,GBBstn2ozBlkCapSht,"Boston round design 60ml, 2oz Clear glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy. Price each",55,"Amber, Clear, Cobalt Blue",94 mm × 55,,master truth × 54; none × 1,OK,
16,Circle,15,13-415,Standard,,60.0,1.0,62.0,80.0,50.0,GBCrcl15BlkSht,"Circle design 15ml, 1/2oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",36,Clear,60 mm × 36,,master truth × 30; none × 6,OK,
17,Circle,30,15-415,Standard,,74.0,1.0,93.0,100.0,60.0,GBCrcl30GlCap,"Circle design 30 ml, clear glass bottle with shiny gold and cap. For use with cologne, perfume or fragrance oil, after shave and beard oils. Price each Classic, Circle design is a family of bottles availabel in many sizes. Price each",7,Clear,74 mm × 7,,master truth × 7,OK,
18,Circle,50,18-400,Frosted,,87.0,1.0,101.0,101.0,72.0,GBCrclFrst50RdcrIvyLthr,"Circle design 50 ml, 1.7oz  frosted glass bottle  with reducer and ivoryfaux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml",1,Frosted,87 mm × 1,,master truth × 1,OK,
19,Circle,50,18-415,Frosted,,87.0,1.0,91.0,115.0,72.0,GBCrclFrst50AnSpBlk,"Circle design 50 ml, 1.7oz  frosted glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",44,Frosted,87 mm × 44,,master truth × 44,OK,
20,Circle,50,18-415,Standard,,87.0,1.0,91.0,115.0,72.0,GBCrcl50AnSpBlk,"Circle design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",46,Clear,87 mm × 46,,master truth × 46,OK,
21,Circle,100,18-415,Frosted,,105.0,2.0,109.0,136.0,89.0,GBCrclFrst100AnSpBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",43,Frosted,105 mm × 43,,master truth × 43,OK,
22,Circle,100,18-415,Standard,,105.0,2.0,109.0,136.0,89.0,GBCrcl100AnSpBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",43,Clear,105 mm × 43,,master truth × 43,OK,
23,Cream Jar,3,20mm,Standard,,18.0,0.5,24.0,50.0,35.0,CJBlu3,"Plastic, cream jar style 3 ml bottle with blue cap. For use with body butters, creams, and thick lotions. Small trial or sample size. Great for promotions. Price each",2,n/a,18 mm × 1; 22 mm × 1,CJClr3 (22 mm),master truth × 2,Heights disagree,most common height used; fix the SKUs listed
24,Cream Jar,5,27mm,Standard,,24.0,0.5,18.0,28.0,31.0,CJAmb5mlBlkCap,"Cream glass jar style 5 ml amber bottle with black cap. For use with body butters, creams, and thick lotions. Small trial or sample size. Great for promotions. Price each",2,n/a,16 mm × 1; 24 mm × 1,CJClr5mlClrCap (16 mm),master truth × 2,Heights disagree,most common height used; fix the SKUs listed
25,Cream Jar,5,PRESS-FIT,Standard,,24.0,0.5,28.0,28.0,31.0,CJAmb5mlSlCap,Cream Jar 5 ml (0.17 oz) Amber Glass Silver Cap,1,Amber,24 mm × 1,,master truth × 1,OK,
26,Cream Jar,15,37mm,Standard,,26.0,0.5,29.0,31.0,55.0,CJClr15Pnk,"Plastic, cream jar style 15 ml bottle with pink cap. For use with body butters, creams, and thick lotions. Small trial or sample size. Great for promotions. Price each",2,n/a,26 mm × 1; 31 mm × 1,CJClr15Wht (31 mm),master truth × 2,Heights disagree,most common height used; fix the SKUs listed
27,Cream Jar,20,40mm,Standard,,33.9,,29.0,29.0,55.0,CJWhite20,"Plastic, cream jar style 20 mlbottle with white cap. For use with body butters, creams, and thick lotions. Small trial or sample size. Great for promotions. Price each",1,n/a,33.9 mm × 1,,master truth × 1,OK,
28,Cream Jar,30,45mm,Standard,,35.0,0.5,40.0,40.0,52.0,CJAmb30BlkCap,"Cream glass jar style 30 ml amber bottle with black cap. For use with body butters, creams, thick lotions. Price each",4,n/a,35 mm × 4,,master truth × 4,OK,
29,Cream Jar,40,48/400,Standard,,42.0,0.5,47.0,47.0,56.0,CJAmb40SlCap,"Glass, cream jar style 40 ml amber bottle with silver cap. For use with body butters, creams, thick lotions. Price each",4,n/a,42 mm × 4,,master truth × 4,OK,
30,Cream Jar,60,58mm,Standard,,51.0,1.0,57.0,57.0,59.0,CreamJarFrstdPlsBlkPls2oz,Frosted plastic Cream jar bottle with clear cap. Capacity: 63 ml,1,n/a,51 mm × 1,,master truth × 1,OK,
31,Cream Jar,63,58mm,Standard,,51.0,,57.0,57.0,59.0,CJWhitePlsSlFr2oz,"White plastic cream jar with silver cap, capacity 63 ml",1,n/a,51 mm × 1,,master truth × 1,OK,
32,Cylinder,3.3,12mm,Standard,,37.0,0.5,54.0,54.0,14.0,GBSpry3mlClBlk,3.3ml Clear Glass Bottle with Black Spray Pump and Clear Cap. Good for use as a sample.,2,Clear,37 mm × 2,,master truth × 1; legacy exact × 1,OK,
33,Cylinder,4,12mm,Standard,,49.0,0.5,67.0,67.0,14.0,GBSpry4mlClBlk,Clear Glass Bottle with Black Spray Pump and Clear Cap. Capacity: 4ml,2,Clear,49 mm × 2,,master truth × 2,OK,
34,Cylinder,5,13-415,Standard,,53.0,1.0,55.0,80.0,17.0,GBCyl5BlkSht,5 mL Clear Cylinder Bottle with Short Ribbed Black Cap,70,"Clear, Cobalt Blue",53 mm × 65; 60 mm × 5,"GBCylBlu5CuSht (60 mm), GBCylBlu5GlMattSht (60 mm), GBCylBlu5GlSht (60 mm), GBCylBlu5SlMattSht (60 mm), GBCylBlu5SlSht (60 mm)",master truth × 54; none × 11; legacy exact × 5,Heights disagree,"most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
35,Cylinder,5.5,13-415,Standard,,53.0,1.0,72.0,72.0,17.0,GBCyl5SpryBlkMatt,"Cylinder design 5.5ml, 1/6oz Clear glass bottle with matte black spray. Fine mist sprayer for use with perfumes and colognes. Refillable, Small sized bottle for decants, promotion, samples and travel accessory. Price each",1,Clear,53 mm × 1,,master truth × 1,OK,same 53 mm glass as the 5 ml; listed separately as 5.5 ml
36,Cylinder,9,13-415,Frosted,Tall,106.0,2.0,109.0,126.0,18.0,GBTallCylFrst9BlkSht,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price each",36,Frosted,106 mm × 36,,master truth × 29; none × 6; legacy exact × 1,OK,
37,Cylinder,9,13-415,Standard,Tall,106.0,2.0,109.0,126.0,18.0,GBTallCyl9BlkSht,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price each",36,Clear,106 mm × 36,,master truth × 30; none × 6,OK,
38,Cylinder,9,17-415,Frosted,,74.0,1.0,87.0,94.0,21.0,GBCylFrst9MtlRollBlkDot,"Cylinder design 9ml,1/3 oz frosted glass bottle with metal roller ball plug and black dot cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",29,Frosted,74 mm × 29,,master truth × 20; legacy exact × 9,OK,
39,Cylinder,9,17-415,Standard,,70.0,1.0,83.0,98.0,20.0,GBCyl9MtlRollBlkDot,"Cylinder design 9ml,1/3 oz clear glass bottle with metal roller ball plug and black dot cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",87,"Amber, Clear, Cobalt Blue",70 mm × 87,,master truth × 60; legacy exact × 27,OK,
40,Cylinder,9,17-415,Swirl,,74.0,1.0,87.0,98.0,21.0,GBCylSwrl9MtlRollBlkDot,"Cylinder swirl design 9ml,1/3 oz glass bottle with metal roller ball plug and black dot cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Price each",29,Swirl,74 mm × 29,,master truth × 29,OK,
41,Cylinder,25,18-415,Standard,,83.0,1.0,105.0,109.0,32.0,LBCyl25LtnCu,"Cylinder design 25ml clear glass bottle with matte copper lotion pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Cylinder design is a family of bottles available in 25ml, 50ml and 100ml sizes.",45,Clear,83 mm × 15; blank × 30,,none × 38; master truth × 7,Some SKUs blank,30 SKUs on this glass have no height recorded
42,Cylinder,28,16mm,Standard,,81.0,1.0,100.0,100.0,31.0,GBCyl1ozRollWht,"Cylinder style 28 ml bottle with plastic roller ball plug and white cap. For use with fragrances, oils, massage oils, light lotions and ointments. Roll-on plug has a large roller ball. Price Each",4,Clear,81 mm × 4,,master truth × 4,OK,
43,Cylinder,30,18-415,Standard,,50.8,,70.7,70.7,42.0,GBSpry1ozGl,Clear Glass Spray Bottle with Gold Top and Base. Capacity: 1oz (30ml),2,Clear,50.8 mm × 2,,master truth × 2,Check height,GBSpry1ozGl is a slim 30 ml tube; 50.8 x 42 mm cannot be right
44,Cylinder,50,16mm,Standard,,98.0,1.0,116.0,116.0,37.0,GBCyl50MtlRollBlk,"Cylinder style 50 ml bottle with metal roller ball plug and black cap. For use with fragrances, oils, massage oils, light lotions and ointments. Roll-on plug has a large roller ball. Price Each",4,Clear,98 mm × 4,,master truth × 4,OK,
45,Cylinder,50,18-415,Standard,,117.0,2.0,121.0,142.0,32.0,GBCyl50AnSpBlk,"Cylinder design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",43,Clear,117 mm × 43,,master truth × 42; legacy exact × 1,OK,
46,Cylinder,100,18-415,Standard,,154.0,2.0,173.0,199.0,35.0,GBCyl100AnSpBlk,"Cylinder design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the b",43,Clear,154 mm × 43,,master truth × 43,OK,
47,Cylinder,114,,Standard,,116.0,2.0,124.0,124.0,41.0,PbClear4ozFlpWh,114 mL Clear Plastic Cylinder Bottle with White Flip-Top Cap,1,Clear,116 mm × 1,,legacy exact × 1,OK,
48,Cylinder,227,,Standard,,156.0,2.0,159.0,159.0,51.0,PbClear8ozFlpWh,227 mL Clear Plastic Cylinder Bottle with White Flip-Top Cap,1,Clear,156 mm × 1,,legacy exact × 1,OK,
49,Cylinder,454,,Standard,,195.0,2.0,194.0,194.0,62.0,PbNat16ozFlpWh,454 mL Clear Plastic Cylinder Bottle with White Flip-Top Cap,1,Clear,195 mm × 1,,legacy exact × 1,OK,
50,Decorative,3,14.3mm,Standard,Tola,42.0,0.5,53.0,53.0,18.0,GB3TPlGl,"Octagonal style 3 ml glass bottle with shiny gold cap and red bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles. Price each",1,Clear,42 mm × 1,,master truth × 1,OK,
51,Decorative,4,8mm,Frosted,Heart,46.0,0.5,53.0,53.0,32.0,GBHeartFrst4KeyGld,"Heart design 4 ml, Frosted glass bottle with gold key chain. For use with perfume or fragrance oil, essential oil. Great for Valentines, gifts, promotions, and wedding and party favors. Price each",2,Frosted,46 mm × 2,,master truth × 2,OK,
52,Decorative,5,17.52mm,Standard,Marble,66.0,1.0,87.0,87.0,26.0,GBMtlMrblSmall,Marble bottle with Crystal Cap and glass applicator.Capacity: Approx 1/6oz (5ml),1,Clear,66 mm × 1,,master truth × 1,OK,
53,Decorative,6,14.3mm,Standard,Tola,48.0,0.5,59.0,59.0,22.0,GB6TPlGl,"Octagonal style 6 ml glass bottle with shiny gold cap and red bead. For use with perfume oil, aromatic oils, fragrance oils and attars. These bottles are traditionally called 'tola' bottles. Price each",1,Clear,48 mm × 1,,master truth × 1,OK,
54,Decorative,10,17.52mm,Standard,Marble,80.0,1.0,102.0,102.0,28.0,GBMtlMrblLarge,Marble bottle with Crystal Cap with glass applicator.Capacity: Approx 1/3oz (10ml,1,Clear,80 mm × 1,,master truth × 1,OK,
55,Decorative,32,Ground,Standard,Genie,77.0,1.0,105.0,105.0,42.0,GB1ozGenieCl,Clear Genie glass bottle. Capacity: 1.14oz (32ml),2,"Clear, Cobalt Blue",77 mm × 2,,master truth × 2,OK,
56,Decorative,35,Ground,Standard,Eternal Flame,44.0,0.5,80.0,82.0,63.0,GBEternalFlameClear,Clear glass bottle with ground glass neck and stopper.Capacity: Approx 1 1/4oz (35ml),3,"Clear, Cobalt Blue, Green",43 mm × 1; 44 mm × 2,GBEternalFlameBlue (43 mm),master truth × 3,Heights disagree,most common height used; fix the SKUs listed
57,Decorative,355,Ground,Standard,Pear,52.2,,192.0,192.0,92.0,GBCB12ozPear,Pear shaped blue bottle with glass stopper. Capacity : 12oz (336ml),1,Clear,52.2 mm × 1,,master truth × 1,OK,
58,Diamond,60,18-415,Standard,,88.0,1.0,92.0,115.0,39.0,GBDmnd2ozAnSpBlk,"Diamond design 60ml, 2 ounce  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",43,Clear,88 mm × 43,,none × 43,OK,
59,Diva,30,18-415,Standard,,81.0,1.0,85.0,109.0,43.0,GBDiva30AnSpBlk,"Diva design 30 ml, 1oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of",34,Clear,81 mm × 34,,master truth × 34,OK,
60,Diva,46,18-415,Frosted,,89.0,1.0,93.0,116.0,49.0,GBDiva46DrpSl,"Diva design 46 ml bottle with white dropper with shiny silver collar cap, price each",44,Frosted,88 mm × 1; 89 mm × 43,GBDivaFrst46AnSpWht (88 mm),master truth × 44,Heights disagree,most common height used; fix the SKUs listed
61,Diva,46,18-415,Standard,,89.0,1.0,93.0,116.0,49.0,GBDiva46AnSpBlk,"Diva design 46 ml, 1.64oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",55,Clear,89 mm × 55,,master truth × 55,OK,
62,Diva,100,18-415,Standard,,113.0,2.0,117.0,140.0,64.0,GBDiva100AnSpBlk,"Diva design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beaut",43,Clear,113 mm × 43,,master truth × 43,OK,
63,Elegant,15,13-415,Frosted,,61.0,1.0,66.0,95.0,35.0,GBElgFrst15BlkShSht,"Elegant design 15ml, 1/2oz frosted glass bottle with short shiny black cap.",36,Frosted,61 mm × 31; 70 mm × 5,"GBElgFrst15CuSht (70 mm), GBElgFrst15GlMattSht (70 mm), GBElgFrst15GlSht (70 mm), GBElgFrst15SlMattSht (70 mm), GBElgFrst15SlSht (70 mm)",master truth × 28; none × 8,Heights disagree,"most common height used; fix the SKUs listed; all the odd ones are short-cap listings, possibly measured with the cap on"
64,Elegant,15,13-415,Standard,,61.0,1.0,63.0,80.0,36.0,GBElg15BlkSht,"Elegant design 15ml, 1/2oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",38,Clear,61 mm × 38,,master truth × 31; none × 7,OK,
65,Elegant,30,15-415,Frosted,,75.0,1.0,93.0,100.0,44.0,GBElgFrst30GlCap,"Elegant design 30 ml, Frosted glass bottle with shiny gold and cap. For use with cologne, perfume or fragrance oil, aftershave and beard oils. Price each Classic, Elegant design is a family of bottles availabel in many sizes. Price each",7,Frosted,75 mm × 7,,master truth × 7,OK,
66,Elegant,30,15-415,Standard,,75.0,1.0,93.0,100.0,44.0,GBElg30GlCap,"Elegant design 30 ml, clear glass bottle with shiny gold and cap. For use with cologne, perfume or fragrance oil, aftershave and beard oils. Price each Classic, Elegant design is a family of bottles availabel in many sizes. Price each",7,Clear,75 mm × 7,,master truth × 7,OK,
67,Elegant,60,18-415,Frosted,,86.0,1.0,90.0,135.0,54.0,GBElgFrst60AnSpBlk,"Elegant design 60 ml, 2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",47,Frosted,86 mm × 46; 86.9 mm × 1,GBElgFrst60DrpSl (86.9 mm),master truth × 47,Heights disagree,most common height used; fix the SKUs listed
68,Elegant,60,18-415,Standard,,86.0,1.0,90.0,117.0,54.0,GBElg60AnSpBlk,"Elegant design 60 ml, 2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",47,Clear,86 mm × 45; 86.9 mm × 2,"GBElg60DrpGl (86.9 mm), GBElg60DrpSl (86.9 mm)",master truth × 47,Heights disagree,most common height used; fix the SKUs listed
69,Elegant,100,18-415,Frosted,,109.0,2.0,113.0,137.0,61.0,GBElgFrst100AnSpBlk,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the be",43,Frosted,109 mm × 43,,master truth × 43,OK,
70,Elegant,100,18-415,Standard,,109.0,2.0,113.0,137.0,61.0,GBElg100AnSpBlk,"Elegant design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the be",44,Clear,109 mm × 44,,master truth × 44,OK,
71,Empire,50,18-415,Standard,,88.0,1.0,93.0,121.0,37.0,GBEmp50AnSpBlk,"Empire design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",47,Clear,88 mm × 47,,master truth × 47,OK,
72,Empire,100,18-415,Standard,,107.0,2.0,110.0,139.0,46.0,GBEmp100AnSpBlk,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",44,Clear,107 mm × 44,,master truth × 44,OK,
73,Flair,15,13-415,Standard,,56.0,1.0,58.0,77.0,41.0,GBFlair15BlkSht,"Flair design 15ml, 1/2oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",38,Clear,56 mm × 38,,master truth × 30; none × 8,OK,
74,Grace,55,18-415,Standard,,113.0,2.0,115.0,141.0,52.0,GBGrce55AnSpBlk,"Grace design 55 ml, 1.85oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",43,Clear,113 mm × 43,,master truth × 43,OK,
75,Lotion Bottle,3,snap,Standard,,118.0,,124.0,124.0,33.0,LB3mlClear,Clear Plastic Lotion Bottle. Capacity: 3ml 1 dram),1,Clear,118 mm × 1,,none × 1,Check height,"a 33 x 118 mm glass holds about 61 ml, not 3 ml"
76,Lotion Bottle,30,,Standard,,118.0,,124.0,124.0,33.0,LB1ozGl,Clear Glass Lotion Bottle with Gold Top and Base.Capacity: 1oz(30ml),2,Clear,118 mm × 2,,master truth × 2,OK,
77,Lotion Bottle,30,18mm,Standard,,118.0,2.0,124.0,124.0,33.0,LBMetalSilver1oz,"Silver metal shell and metal cap, refillable lotion bottle 1oz.",1,Clear,118 mm × 1,,master truth × 1,OK,
78,Pillar,9,13-415,Standard,,57.0,1.0,69.0,70.0,21.0,GBPillar9BlkShSht,"Pillar shaped 9ml, Clear glass bottle with black short cap. For use with perfume or fragrance oil, essential oils, aroma",3,Clear,57 mm × 3,,master truth × 3,OK,
79,Pillar,9,17-415,Standard,,57.0,,20.0,20.0,21.0,GBPillar9SpryBlkMatt,"Pillar design 9ml Clear glass bottle with matte black spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants. Price each",1,Clear,57 mm × 1,,master truth × 1,OK,
80,Plastic Bottle,10,,Standard,,93.8,,74.8,74.8,23.7,PB10SpryNat,Plastic Bottle with Clear Spray Top and Clear Cap. Capacity: 10ml (1/3oz),1,n/a,93.8 mm × 1,,none × 1,OK,
81,Plastic Bottle,30,13-415,Standard,,68.0,1.0,82.0,85.0,23.7,PB1ozClearcap,Clear Plastic Bottle With Clear Screw on Cap.Capacity: 1oz (30ml),3,n/a,68 mm × 3,,none × 3,OK,
82,Rectangle,9,Ground,Standard,,47.0,0.5,64.0,64.0,24.0,GBSQSTBlue,Blue glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),3,Clear,47 mm × 3,,master truth × 3,OK,
83,Rectangle,10,13-415,Standard,,50.0,0.5,53.0,71.0,29.0,GBRect10BlkSht,"Footed rectangular design 10ml, 1/3oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price each",38,Clear,50 mm × 38,,master truth × 30; none × 8,OK,
84,Rectangle,10,13-415,Standard,Tall,101.0,2.0,106.0,121.0,17.0,GBTallRect10BlkSht,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with short black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price each",36,Clear,101 mm × 36,,master truth × 30; none × 6,OK,
