grace_sku,body_id,neck_finish,shape
GBCyl100RdcrBlkLthr,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrShnBlk,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrBrwnLthr,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrIvyLthr,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrLBrwnLthr,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrPnkLthr,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrShnGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrShnSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrMtSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrShnBlkTall,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrMtSlTall,Cyl-round-18-415-154x35,18-415,round
GBCyl100RdcrWht,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnShnBlk,Cyl-round-18-415-154x35,18-415,round
GBCyl100SpryShnBlk,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnShnGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100SpryShnGl,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnShnSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100SpryShnSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpWht,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslWht,Cyl-round-18-415-154x35,18-415,round
GBCyl50AnSpBlk,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslBlk,Cyl-round-18-415-117x32,18-415,round
LBCyl50LtnClOvrCap,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpIvyGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpIvySl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslIvyGl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslIvySl,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpLvn,Cyl-round-18-415-117x32,18-415,round
GBCyl50AnSpTslLvn,Cyl-round-18-415-117x32,18-415,round
LBCyl50LtnCu,Cyl-round-18-415-117x32,18-415,round
GBCyl50SpryCu,Cyl-round-18-415-117x32,18-415,round
