sku,url,neck,family,glass,capacityMl,sha256,hasPurchase,stockUnavailable,error
GBCrclFrst50DrpSl,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-silver-collar-cap,18-415,,Frosted,50,c64a5db5a53822c5ed1d3fc5f0c02e7bbbe69ff0fb16aa7d3572dfbbaf9b6aed,True,False,
GBDmnd2ozSpryShnSl,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-shiny-silver-spray-and-capshiny-silver-cap,18-415,,Clear,60,b2ed219d15d5c7b6e9c925ef099bf9b61e12c30ae90f1ceb47759dec213c4469,True,False,
GBElg60AnSpGl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap,18-415,,Clear,60,f76374a0bda159d3191400b61bc425f9b7ff6029e186c7217d1ea52088ee25df,True,False,
GBEmp100RdcrShnBlkTall,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-tall-black-shiny-cap,18-415,,Clear,100,758edc33b1ab75e607a9139154fbbf611a4d0cf0128113493c9dffec70004f48,True,False,
GBEmp50SpryCu,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,50,0eaa4f9de3d288864a42a20a271d62195deb4c80db5e9399e2aef064c58a52da,True,False,
GBCrcl15Gl,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-gold-cap,13-415,,Clear,15,bc12bb409272248c110fe790c9b595162d287f2379012ae513be6ca6adb77fd0,True,False,
GBCrclFrst50DrpGl,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-gold-collar-cap,18-415,,Frosted,50,bad66b5d553f7f5cb42c17dfc7b3780dbb4024734926939db5bf9dae53558df6,True,False,
GBElg60SpryShnGl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-shiny-gold-spray-pump-and-cap,18-415,,Clear,60,af7532b8f627a8de39320788114f0e67683df2650f3701e1f8b1f18231d87afa,True,False,
GBElg60AnSpIvyGl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap,18-415,,Clear,60,68b2d5315b2bc450e6f89e335a08e67b960d69361bff23d56f72d8330c5e0b1c,True,False,
GBEmp100RdcrBrwnLthr,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap,18-415,,Clear,100,8f44b12d42b88714ee96b973c55edc6a1a835d7afb66fee7fa82d03a8005d400,True,False,
GBSlk50SpryCu,https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,50,846dd341992dbc197f840edb4da7a4dc4eb350835e48253ab4df949196c9df85,True,False,
GBCrcl15Sl,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-silver-cap,13-415,,Clear,15,502974b79fedd8fad2a937ea875c819b416f0ef6f1ab1af6638058bc155dede3,True,False,
GBEmp50DrpSl,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-white-dropper-shiny-silver-collar-cap,18-415,,Clear,50,2c97faf7112735348cb3b7db3041118d978edc5d236e2c02f33c5ce53c7239e8,True,False,
GBElg60SpryShnBlk,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-shiny-black-spray-pump-and-cap,18-415,,Clear,60,4070b7cd9f672d489777f98752156141f63173d192143eb4f222c38dbdc24c90,True,False,
GBElg60AnSpWht,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap,18-415,,Clear,60,6391c766856a892a12b18105356c9e0d83ce28348a4a1474bbadd8617f7233f8,True,False,
GBTallRect10BlkSht,https://www.bestbottles.com/product/tall-rectangular-design-10-ml-glass-bottle-short-black-cap,13-415,,Clear,10,1d9d81adf8e30bb73bfe6461a051523a2316c9e579010436791802ac825c60f1,True,False,
GBSlm50SpryCu,https://www.bestbottles.com/product/slim-design-50-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,50,0e161bcd6b9b8c0200ef0ba91420ef8d3858bd4312066e88693717bc00a797b1,True,False,
