sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentIfPublicationIgnored,componentSellableReason,assemblySellableReason,visibleIfStandalonePublicationIgnored,sourceUrl
"GBCyl100RdcrShnBlkTall","Cylinder","100","Clear","18-415","Reducer","Tall Shiny Black","false","assembly_unpublished_or_unsellable","CP18-415ShnBlkTall","CP18-415ShnBlkTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-tall-black-shiny-cap"
"GBCylBlu5Sl","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Regular Shiny Silver","true","","CP13-415Sl","CP13-415Sl","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-silver-cap"
"GBCyl100RdcrShnBlk","Cylinder","100","Clear","18-415","Reducer","Shiny Black","false","exact_component_unresolved | assembly_unpublished_or_unsellable","","","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-black-shiny-cap"
"GBCylBlu9SpryBlk","Cylinder","9","Cobalt Blue","17-415","Fine Mist Sprayer","Black","true","","Spry17-415Blk","Spry17-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-cobalt-blue-glass-bottle-sprayer-black-trim-and-cap"
"GBCylBlu5WhtSht","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Short Ribbed White","true","","CP13-415WhtSht","CP13-415WhtSht","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-white-cap"
"GBCyl100RdcrBrwnLthr","Cylinder","100","Clear","18-415","Reducer","Brown Leather","false","assembly_unpublished_or_unsellable","CP18-415BrwnLthr","CP18-415BrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap"
"GBCylFrst9SpryBlk","Cylinder","9","Frosted","17-415","Fine Mist Sprayer","Black","true","","Spry17-415Blk","Spry17-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-frosted-glass-bottle-sprayer-black-trim-and-cap"
"GBCylBlu5Gl","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Regular Shiny Gold","true","","CP13-415Gl","CP13-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-gold-cap"
"GBCyl100RdcrLBrwnLthr","Cylinder","100","Clear","18-415","Reducer","Light Brown Leather","false","assembly_unpublished_or_unsellable","CP18-415LBrwnLthr","CP18-415LBrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBCyl100RdcrShnSl","Cylinder","100","Clear","18-415","Reducer","Shiny Silver","false","assembly_unpublished_or_unsellable","CP18-415ShnSl","CP18-415ShnSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-shiny-silver-cap"
"GBCyl100RdcrMtSlTall","Cylinder","100","Clear","18-415","Reducer","Tall Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSlTall","CP18-415MtSlTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-tall-silver-matte-cap"
"GBTallCyl9SpryBlkMatt","Cylinder","9","Clear","13-415","Fine Mist Sprayer","Matte Black","false","standalone_component_unpublished","","CP13-415SpryBlkMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-black-spray"
"GBCyl100RdcrMtSl","Cylinder","100","Clear","18-415","Reducer","Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSl","CP18-415MtSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-silver-matte-cap"
"GBTallCylFrst9SpryBlkMatt","Cylinder","9","Frosted","13-415","Fine Mist Sprayer","Frosted","false","standalone_component_unpublished","","CP13-415SpryBlkMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-black-spray"
"GBCyl100RdcrWht","Cylinder","100","Clear","18-415","Reducer","White","false","assembly_unpublished_or_unsellable","CP18-415Wh","CP18-415Wh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-white-cap"
"GBCyl100RdcrIvyLthr","Cylinder","100","Clear","18-415","Reducer","Ivory Leather","false","assembly_unpublished_or_unsellable","CP18-415LIvyLthr","CP18-415LIvyLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-ivory-faux-leather-cap"
"GBCyl100RdcrPnkLthr","Cylinder","100","Clear","18-415","Reducer","Pink Leather","false","assembly_unpublished_or_unsellable","CP18-415LPnkLthr","CP18-415LPnkLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-pink-faux-leather-cap"
"GBCyl50SpryMtGl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Matte Gold","false","standalone_component_unpublished","","Spry18-415MtGl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCyl50SpryShnGl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Gold","false","standalone_component_unpublished","","Spry18-415ShnGl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCyl50SpryShnBlk","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Black","false","standalone_component_unpublished","","Spry18-415ShnBlk","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCyl50SpryMtSl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Matte Silver","false","standalone_component_unpublished","","Spry18-415MtSl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCyl50SpryShnSl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Silver","false","standalone_component_unpublished","","Spry18-415ShnSl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-shiny-silver-spray-and-cap"
"GBTallCyl9Gl","Cylinder","9","Clear","13-415","","Gold","true","","CP13-415Gl","CP13-415Gl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-gold-cap"
"GBTallCyl9Sl","Cylinder","9","Clear","13-415","","Silver","true","","CP13-415Sl","CP13-415Sl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-silver-cap"
"GBTallCylFrst9WhtSht","Cylinder","9","Frosted","13-415","","Short Ribbed White","true","","CP13-415WhtSht","CP13-415WhtSht","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-white-cap"
"GBTallCylFrst9Gl","Cylinder","9","Frosted","13-415","","Shiny Gold","true","","CP13-415Gl","CP13-415Gl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-gold-cap"
"GBTallCylFrst9Sl","Cylinder","9","Frosted","13-415","","Shiny Silver","true","","CP13-415Sl","CP13-415Sl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-silver-cap"
"GBSpry1ozGl","Cylinder","30","Clear","18-415","","Shiny Gold","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Gold-1oz"
"GBSpry1ozSl","Cylinder","30","Clear","18-415","","Silver","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Matte-Silver-1oz"
"GBCyl50SpryCu","Cylinder","50","Clear","18-415","Perfume Spray Pump","Copper","false","standalone_component_unpublished","","Spry18-415Cu","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-copper-spray-and-cap"
"GBCyl100SpryCu","Cylinder","100","Clear","18-415","Perfume Spray Pump","Copper","false","standalone_component_unpublished","","Spry18-415Cu","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-matte-copper-spray-and-cap"
"GBCyl5MtlRollBlkSh","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Black","true","","CPRoll13-415BlkSh","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap"
"GBCyl5MtlRollCuMatt","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Copper","true","","CPRoll13-415Cu","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap"
"GBCyl5MtlRollGlMatt","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Gold","true","","CPRoll13-415GlMt","CPRoll13-415GlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap"
"GBCyl5MtlRollGlSh","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Gold","true","","CPRoll13-415GlSh","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-shiny-gold-cap"
"GBCyl5MtlRollPinkDot","Cylinder","5","Clear","13-415","Metal Roller Ball","Pink with Dots","true","","CPRoll13-415PinkDot","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots"
"GBCyl5MtlRollSlDot","Cylinder","5","Clear","13-415","Metal Roller Ball","Silver with Dots","true","","CPRoll13-415SlDot","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots"
"GBCyl5MtlRollSlMatt","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Silver","true","","CPRoll13-415SlMt","CPRoll13-415SlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-silver-cap"
"GBCyl5MtlRollSlSh","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Silver","true","","CPRoll13-415SlSh","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-shiny-silver-cap"
"GBCyl50RdcrBlkLthr","Cylinder","50","Clear","18-415","Reducer","Black Leather","false","assembly_unpublished_or_unsellable","CP18-415BlkLthr","CP18-415BlkLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-reducer-black-faux-leather-cap"
"GBCylBlu5MtlRollBlkSh","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Black","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415BlkSh","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-black-shiny-cap"
"GBCylBlu5MtlRollCuMatt","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Copper","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415Cu","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-copper-cap"
"GBCyl5SprySlMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Silver","false","standalone_component_unpublished","","CP13-415SprySlMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-silver-spray"
"GBCylBlu5MtlRollGlMatt","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Gold","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415GlMt","CPRoll13-415GlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-gold-cap"
"GBCyl5SpryBlkSh","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Black","false","standalone_component_unpublished","","CP13-415SpryBlkSh","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-black-spray"
"GBCylBlu5MtlRollGlSh","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Gold","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415GlSh","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-shiny-gold-cap"
"GBCyl5SpryGlSh","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Gold","false","standalone_component_unpublished","","CP13-415SpryGlSh","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-gold-spray"
"GBCyl100SpryMtGl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Matte Gold","false","standalone_component_unpublished","","Spry18-415MtGl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCylBlu5MtlRollPinkDot","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Pink with Dots","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415PinkDot","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots"
"GBCyl5SprySlSh","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Silver","false","standalone_component_unpublished","","CP13-415SprySlSh","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-silver-spray"
"GBCyl100SpryShnGl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Gold","false","standalone_component_unpublished","","Spry18-415ShnGl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCylBlu5MtlRollSlDot","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Silver with Dots","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415SlDot","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots"
"GBCyl5SpryBluMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Blue","false","standalone_component_unpublished","","CP13-415SpryBluMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-blue-spray"
"GBCyl100SpryShnBlk","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Black","false","standalone_component_unpublished","","Spry18-415ShnBlk","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCylBlu5MtlRollSlMatt","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Silver","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415SlMt","CPRoll13-415SlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-silver-cap"
"GBCyl5SpryCuMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Copper","false","standalone_component_unpublished","","CP13-415SpryCuMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-copper-spray"
"GBCyl100SpryMtSl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Matte Silver","false","standalone_component_unpublished","","Spry18-415MtSl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCylBlu5MtlRollSlSh","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Silver","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415SlSh","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-shiny-silver-cap"
"GBCyl5SpryGlMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Gold","false","standalone_component_unpublished","","CP13-415SpryGlMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-gold-spray"
"GBCyl100SpryShnSl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Silver","false","standalone_component_unpublished","","Spry18-415ShnSl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-shiny-silver-spray-and-cap"
"GBCyl100RdcrBlkLthr","Cylinder","100","Clear","18-415","Reducer","Black Leather","false","assembly_unpublished_or_unsellable","CP18-415BlkLthr","CP18-415BlkLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-black-faux-leather-cap"
"GBCyl50AnSpBlk","Cylinder","50","Clear","18-415","Vintage Bulb Sprayer","Black","true","","AnSp18-415Blk","AnSp18-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCyl50AnSpTslBlk","Cylinder","50","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","true","","AnSpTsl18-415Blk","AnSpTsl18-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"LBCylAmb9LtnGl","Cylinder","9","Amber","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-amber-glass-bottle-lotion-pump-gold-trim-and-cap"
"GBCylBlu5SprySlSh","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Silver","false","standalone_component_unpublished","","CP13-415SprySlSh","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-silver-spray"
"LBCylAmb9LtnMtSl","Cylinder","9","Amber","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-amber-glass-bottle-lotion-pump-matte-silver-trim-cap"
"GBCylBlu5SpryBlkSh","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Black","false","standalone_component_unpublished","","CP13-415SpryBlkSh","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-black-spray"
"LBCyl9LtnMtSl","Cylinder","9","Clear","17-415","Lotion Pump","Clear","true","","Ltn17-415MattSl","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-lotion-pump-matte-silver-trim-cap"
"GBCylBlu5SpryGlSh","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Gold","false","standalone_component_unpublished","","CP13-415SpryGlSh","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-gold-spray"
"LBCyl9LtnGl","Cylinder","9","Clear","17-415","Lotion Pump","Clear","true","","Ltn17-415Gl","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-lotion-pump-gold-trim-and-cap"
"GBCylBlu5SpryGlMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Gold","false","standalone_component_unpublished","","CP13-415SpryGlMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-gold-spray"
"GBCylBlu5SpryBluMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Blue","false","standalone_component_unpublished","","CP13-415SpryBluMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-blue-spray"
"GBCylBlu5SpryCuMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Copper","false","standalone_component_unpublished","","CP13-415SpryCuMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-copper-spray"
"LBCylBlu9LtnMattSl","Cylinder","9","Cobalt Blue","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-cobalt-blue-glass-bottle-lotion-pump-matte-silver-trim-cap"
"GBCylBlu5SprySlMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Silver","false","standalone_component_unpublished","","CP13-415SprySlMt","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-silver-spray"
"LBCylBlu9LtnGl","Cylinder","9","Cobalt Blue","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-cobalt-blue-glass-bottle-lotion-pump-gold-trim-and-cap"
"LBCylFrst9LtnMtSl","Cylinder","9","Frosted","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-frosted-glass-bottle-lotion-pump-matte-silver-trim-cap"
"LBCylFrst9LtnGl","Cylinder","9","Frosted","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-frosted-glass-bottle-lotion-pump-gold-trim-and-cap"
"LBCylSwrl9LtnMtSl","Cylinder","9","Swirl","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-swirl-glass-bottle-lotion-pump-matte-silver-trim-cap"
"LBCylSwrl9LtnGl","Cylinder","9","Swirl","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-swirl-glass-bottle-lotion-pump-gold-trim-and-cap"
"GBCyl5RollBlkDot","Cylinder","5","Clear","13-415","Plastic Roller Ball","Black with Dots","true","","CPRoll13-415BlackDot","CPRoll13-415BlackDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
"GBCyl5RollSlSh","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Silver","true","","CPRoll13-415SlSh","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap"
"LBCyl25LtnMtGl","Cylinder","25","Clear","18-415","Lotion Pump","Matte Gold","false","standalone_component_unpublished","","Ltn18-415MtGl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-matte-gold-lotion-pump-and-cap"
"LBCyl25LtnShnGl","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Gold","false","standalone_component_unpublished","","Ltn18-415ShnGl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-shiny-gold-lotion-pump-and-cap"
"GBCyl5RollBlkSh","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Black","true","","CPRoll13-415BlkSh","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap"
"GBCylBlu5RollBlkDot","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Black with Dots","false","bare_preview_depends_on_blocked_sibling","CPRoll13-415BlackDot","CPRoll13-415BlackDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
"LBCyl25LtnShnBlk","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Black","false","standalone_component_unpublished","","Ltn18-415ShnBlk","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-shiny-black-lotion-pump-and-cap"
"GBCyl5RollGlSh","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Gold","true","","CPRoll13-415GlSh","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap"
"LBCyl25LtnMtSl","Cylinder","25","Clear","18-415","Lotion Pump","Matte Silver","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-matte-silver-lotion-pump-and-cap"
"GBCyl5RollSlDot","Cylinder","5","Clear","13-415","Plastic Roller Ball","Silver with Dots","true","","CPRoll13-415SlDot","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots"
"LBCyl25LtnShnSl","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Silver","false","standalone_component_unpublished","","Ltn18-415ShnSl","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-shiny-silver-lotion-pump-and-cap"
"GBCyl5RollPinkDot","Cylinder","5","Clear","13-415","Plastic Roller Ball","Pink with Dots","true","","CPRoll13-415PinkDot","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots"
"LBCyl25LtnCu","Cylinder","25","Clear","18-415","Lotion Pump","Copper","false","standalone_component_unpublished","","Ltn18-415Cu","STATUS_DRAFT+NOT_PUBLISHED","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-matte-copper-lotion-pump-and-cap"
"GBCyl5RollCuMatt","Cylinder","5","Clear","13-415","Plastic Roller Ball","Matte Copper","true","","CPRoll13-415Cu","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-matte-copper-cap"
"GBCylAmb9RollBlkDot","Cylinder","9","Amber","17-415","Plastic Roller Ball","Black Dotted","true","","CpRoll17-415BlkDot","CpRoll17-415BlkDot","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-amber-glass-bottle-plastic-roller-ball-black-dot-cap"
