sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentIfPublicationIgnored,componentSellableReason,assemblySellableReason,visibleIfStandalonePublicationIgnored,sourceUrl
"GBDiva30SpryMtGl","Diva","30","Clear","18-415","Perfume Spray Pump","Matte Gold","false","standalone_component_unpublished","","Spry18-415MtGl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/diva-design-30-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBDiva30SpryShnGl","Diva","30","Clear","18-415","Perfume Spray Pump","Shiny Gold","false","standalone_component_unpublished","","Spry18-415ShnGl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/diva-design-30-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBDiva30SpryShnBlk","Diva","30","Clear","18-415","Perfume Spray Pump","Shiny Black","false","standalone_component_unpublished","","Spry18-415ShnBlk","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/diva-design-30-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBDiva30SpryMtSl","Diva","30","Clear","18-415","Perfume Spray Pump","Matte Silver","false","standalone_component_unpublished","","Spry18-415MtSl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/diva-design-30-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBDiva30SpryShnSl","Diva","30","Clear","18-415","Perfume Spray Pump","Shiny Silver","false","standalone_component_unpublished","","Spry18-415ShnSl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/diva-design-30-ml-glass-bottle-shiny-silver-spray-and-cap"
"LBElgFrst100LtnMtGl","Elegant","100","Frosted","18-415","Lotion Pump","Matte Gold","false","standalone_component_unpublished","","Ltn18-415MtGl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-gold-lotion-pump-and-cap"
"LBElgFrst100LtnShnGl","Elegant","100","Frosted","18-415","Lotion Pump","Shiny Gold","false","standalone_component_unpublished","","Ltn18-415ShnGl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-gold-lotion-pump-and-cap"
"LBElgFrst100LtnShnBlk","Elegant","100","Frosted","18-415","Lotion Pump","Shiny Black","false","standalone_component_unpublished","","Ltn18-415ShnBlk","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-black-lotion-pump-and-cap"
"LBElgFrst100LtnMtSl","Elegant","100","Frosted","18-415","Lotion Pump","Matte Silver","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-silver-lotion-pump-and-cap"
"LBElg100LtnClOvrCap","Elegant","100","Clear","18-415","Lotion Pump","Clear Overcap","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/elegant-design-105-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"LBElgFrst100LtnShnSl","Elegant","100","Frosted","18-415","Lotion Pump","Shiny Silver","false","standalone_component_unpublished","","Ltn18-415ShnSl","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-silver-lotion-pump-and-cap"
"LBElgFrst100WhtClOvrCp","Elegant","100","Frosted","18-415","Lotion Pump","Overcap","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-white-rectangular-clear-over-the-cap"
"LBElgFrst100LtnCu","Elegant","100","Frosted","18-415","Lotion Pump","Copper","false","standalone_component_unpublished","","Ltn18-415Cu","STATUS_DRAFT+NOT_PUBLISHED","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-matte-copper-lotion-pump-and-cap"
"LBElgFrst100LtnClOvrCap","Elegant","100","Frosted","18-415","Lotion Pump","Clear Overcap","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"GBElg15RollSlSh","Elegant","15","Clear","13-415","Plastic Roller Ball","Shiny Silver","false","assembly_unpublished_or_unsellable","CPRoll13-415SlSh","CPRoll13-415SlSh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap"
"GBElg15RollGlSh","Elegant","15","Clear","13-415","Plastic Roller Ball","Shiny Gold","false","assembly_unpublished_or_unsellable","CPRoll13-415GlSh","CPRoll13-415GlSh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap"
"GBElg15RollPinkDot","Elegant","15","Clear","13-415","Plastic Roller Ball","Pink Dotted","false","assembly_unpublished_or_unsellable","CPRoll13-415PinkDot","CPRoll13-415PinkDot","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots"
"GBElg15RollSlDot","Elegant","15","Clear","13-415","Plastic Roller Ball","Silver Dotted","false","assembly_unpublished_or_unsellable","CPRoll13-415SlDot","CPRoll13-415SlDot","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots"
"GBElg15RollSlMatt","Elegant","15","Clear","13-415","Plastic Roller Ball","Matte Silver","false","assembly_unpublished_or_unsellable","CPRoll13-415SlMt","CPRoll13-415SlMt","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap"
