graceSku,itemName,field,convex,master_v83
CMP-SPR-LVSLWH-18-415-02,Lavender Antique or Vintage style bulb sprayer with silver f,family,Sprayer,Component
CMP-SPR-LVSLWH-18-415-02,Lavender Antique or Vintage style bulb sprayer with silver f,capColor,Lavender,Lavender Silver White
CMP-SPR-LVSLWH-18-415-02,Lavender Antique or Vintage style bulb sprayer with silver f,dataGrade,B — no color,A
CMP-SPR-LVSLWH-18-415-02,Lavender Antique or Vintage style bulb sprayer with silver f,diameter,21 ±0.5 mm,22
CMP-SPR-LVSLWH-18-415-02,Lavender Antique or Vintage style bulb sprayer with silver f,heightWithCap,36 ±0.5 mm,20
GB-DVA-CLR-46ML-T-28,Diva 46 ml (1.56 oz) Clear Glass Bottle Tall Cap,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
GB-DVA-CLR-100ML-AST-IVSL,"Diva design 100 ml, 3 1/2oz  clear glass bottle  with Ivory ",capColor,Ivory,Ivory Silver
GB-SLK-CLR-5ML-SPR-SGLD,"Sleek design 5ml, 1/6oz Clear glass bottle with shiny gold s",capStyle,Spray,Screw Cap
LB-RND-CLR-78ML-LPM-SBLK,"Round design 78 ml, 2.65oz clear glass bottle with shiny bla",category,Glass Bottle,Lotion Bottle
GB-CIR-CLR-50ML-RDC-MSLV-T,"Circle design 50 ml, 1.7oz  clear glass bottle  with reducer",capStyle,Tall,Screw Cap
GB-CIR-CLR-50ML-RDC-MSLV-T,"Circle design 50 ml, 1.7oz  clear glass bottle  with reducer",heightWithCap,99 ±1 mm,112 ±2 mm
ACC-RCB-2X10,2inches x 10inches Recloseable Plastic Bags. 100pcs per pack,category,Packaging,Other
GB-ELG-FRS-100ML-RDC-SBLK-T,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with red",capStyle,Tall,Screw Cap
GB-CYL-AMB-5ML-ROL-MSLV,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",family,Tulip,Cylinder
GB-CYL-CLR-100ML-SPR-MGLD,"Cylinder design 100 ml, 3 1/2oz  clear glass bottle  with ma",capStyle,Spray,Screw Cap
GB-DVA-FRS-46ML-T-39,Diva 46 ml (1.56 oz) Frosted Glass Bottle Tall Cap,capColor,Shiny Gold,Clear
GB-RYL-CLR-13ML-SPR-SGLD,"Royal design 13ml, 1/2oz Clear glass bottle with shiny gold ",capStyle,Spray,Screw Cap
GB-CYL-BLU-10ML-ATM-BLU,"Blue atomizer design 10 ml bottle. For use with perfumes, Co",family,Atomizer,Cylinder
GB-CYL-BLU-10ML-ATM-BLU,"Blue atomizer design 10 ml bottle. For use with perfumes, Co",category,Metal Atomizer,Glass Bottle
CMP-LPM-BLK-17-415,"Shiny black collar Lotion or treatment pump, Threadsize 17-4",family,Roll-On Cap,Lotion Pump
LB-RND-CLR-128ML-LPM-MGLD,"Round design 128 ml, 4.33oz clear glass bottle with matte go",category,Glass Bottle,Lotion Bottle
CMP-CAP-PHN-24400-BLK,Phenolic Cap 24-400 Black Taperseal,family,Cap/Closure,Cap
GB-CYL-CLR-50ML-AST-IVSL,"Cylinder design 50 ml, 1.7oz  clear glass bottle  with Ivory",capColor,Ivory,Ivory Silver
CMP-ROC-WHT-17415,"White cap or closure for rollon bottles, Threadsize 17-415",category,Component,Roll-On Cap
LB-SLM-CLR-30ML-LPM-CPR,"Slim design 30 ml, 1oz clear glass bottle with matte copper ",category,Glass Bottle,Lotion Bottle
LB-ELG-CLR-60ML-LPM-SGLD,"Elegant design 60 ml, 2oz clear glass bottle with shiny gold",category,Glass Bottle,Lotion Bottle
GB-DVA-CLR-46ML-T-23,Diva 46 ml (1.56 oz) Clear Glass Bottle Tall Cap,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
CMP-ROC-BLK-17415-DOT,"Black with dots cap or closure for rollon bottles, Threadsiz",category,Component,Roll-On Cap
LB-CIR-CLR-100ML-LPM-MGLD,"Circle design 100 ml, 3 1/2oz clear glass bottle with matte ",category,Glass Bottle,Lotion Bottle
CMP-CAP-SGLD-13-415-03,Cap/Closure Thread 13-415,category,Component,Cap/Closure
LB-SLK-CLR-30ML-LPM-MSLV,"Sleek design 30 ml, 1oz clear glass bottle with matte silver",category,Glass Bottle,Lotion Bottle
GB-EMP-CLR-100ML-SPR-SGLD,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with shin",capStyle,Spray,Screw Cap
GB-EMP-CLR-100ML-SPR-SGLD,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with shin",diameter,46 ±0.5 mm,78 ±1 mm
GB-DVA-CLR-46ML-02,Diva 46 ml (1.56 oz) Clear Glass Bottle,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
GB-BEL-CLR-10ML-SHT-SBLK,Bell design 10ml Clear glass bottle with short shiny black c,family,Bell,Component
GB-BEL-CLR-10ML-SHT-SBLK,Bell design 10ml Clear glass bottle with short shiny black c,category,Glass Bottle,Component
GB-BEL-CLR-10ML-SHT-SBLK,Bell design 10ml Clear glass bottle with short shiny black c,capColor,Shiny Black,Shiny Black Clear
GB-BEL-CLR-10ML-SHT-SBLK,Bell design 10ml Clear glass bottle with short shiny black c,dataGrade,B,B — no thread
GB-BEL-CLR-10ML-SHT-SBLK,Bell design 10ml Clear glass bottle with short shiny black c,diameter,27 ±0.5 mm,22
GB-BEL-CLR-10ML-SHT-SBLK,Bell design 10ml Clear glass bottle with short shiny black c,heightWithCap,59 ±1 mm,20
LB-RND-FRS-78ML-03,"Round design 78 ml, 2.65oz frosted glass bottle with matte s",category,Glass Bottle,Lotion Bottle
LB-DVA-CLR-46ML-03,Diva 46 ml (1.56 oz) Clear Lotion Bottle,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
LB-DVA-CLR-30ML-LPM-SSLV,"Diva design 30 ml, 1oz clear glass bottle with shiny silver ",category,Glass Bottle,Lotion Bottle
GB-SLK-CLR-30ML-RDC-SBLK-T,"Sleek design 30 ml, 1oz  clear glass bottle  with reducer an",capStyle,Tall,Screw Cap
GB-CYL-CLR-6ML-SPR-SSLV,"Tulip design 6ml, 1/5oz Clear glass bottle with shiny silver",family,Tulip,Cylinder
CMP-ROC-SSLV-17415,"Shiny silver cap or closure for rollon bottles, Threadsize 1",category,Component,Roll-On Cap
