body_id,family,alias,capacity_ml,diameter_mm,body_height_mm,neck_finish,sku_count,glass_colors,applicators,example_skus,complexity,confidence,existing_model,geometry_status,parametric_group
BB-BODY-099,Decorative,5 ml Decorative (66 mm body),5,,66.0,17.52mm,1,1,0,GBMtlMrblSmall,COMPLEX,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-DECORATIVE-17.52mm
BB-BODY-100,Decorative,6 ml Decorative (48 mm body),6,22.0,48.0,14.3mm,1,1,0,GB6TPlGl,COMPLEX,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-101,Lotion Bottle,3 ml Lotion Bottle,3,,,snap,1,1,0,LB3mlClear,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-102,Lotion Bottle,30 ml Lotion Bottle (118 mm body),30,33.0,118.0,18mm,1,1,0,LBMetalSilver1oz,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-103,Pillar,9 ml Pillar,9,,,17-415,1,1,1,GBPillar9SpryBlkMatt,COMPLEX,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-104,Pillar,9 ml Pillar,9,,,Size: GBPillar9BlkSht Nemat In,1,1,1,GBPillar9BlkShSht,COMPLEX,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-105,Plastic Bottle,30 ml Plastic Bottle (68 mm body),30,,68.0,13-415,1,0,0,PB1ozClearcap,EASY,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-106,Royal,14 ml Royal (64 mm body),14,,64.0,11mm,1,1,0,GBMtlCylGl,EASY,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-107,Tulip,6 ml Tulip,6,,,13-415,1,1,1,GBTulip6BlkShSht,MODERATE,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-108,Vial,2 ml Vial,2,,,13-425,1,1,0,GBVialAmb1o5WhtCapSht,EASY,LOW,NO,PARAMETRIC CANDIDATE,CAND-VIAL-13-425
BB-BODY-109,Vial,3 ml Vial,3,,,13-425,1,1,0,GBVBlu1o9BlackCapSht,EASY,LOW,NO,PARAMETRIC CANDIDATE,CAND-VIAL-13-425
