websiteSku,graceSku,convexFamily,convexThread,sourceGroup,retired,productUrl
AnSp18-415Gl,CMP-SPR-GLD-18-415-02,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold
AnSp18-415IvyGl,CMP-SPR-IVGD-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold
AnSp18-415IvyGl__RETIRED__CMP-SPR-GDIV-18-415-02__kd7eb4a9a6fvnhb98entc5h0t581v24t,CMP-SPR-GDIV-18-415-02,Sprayer,18-415,Vintage bulb or alias for review,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-gold
AnSp18-415IvySl,CMP-SPR-IVSL-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver
AnSp18-415IvySl__RETIRED__CMP-SPR-IVSL-18-415-04__kd741hqcampjwg5bnsh66nchex81vczz,CMP-SPR-IVSL-18-415-04,Sprayer,18-415,Vintage bulb or alias for review,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-ivory-silver
AnSp18-415Lvn,CMP-SPR-LVN-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender
AnSp18-415Lvn__RETIRED__CMP-SPR-LVSL-18-415-02__kd7anwmhnmf45dqgmemweffp8d81vftk,CMP-SPR-LVSL-18-415-02,Sprayer,18-415,Vintage bulb or alias for review,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender
AnSp18-415MtSl,CMP-SPR-MSLV-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver
AnSp18-415MtSl__RETIRED__CMP-SPR-MTSL-18-415-04__kd7ap72dx52zvyzkfgbk5vnwsh81vfjb,CMP-SPR-MTSL-18-415-04,Sprayer,18-415,Vintage bulb or alias for review,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver
AnSp18-415Red,CMP-SPR-RED-18-415-01,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red
