environment,family,sku,body,capacity,neck,glass,fitment,finish,visible,candidate,component,issue,sellable,stock,kit_completeness,kit_slots,kit_conflicts
live,Cylinder,GBCylBlu5SpryGlSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Fine Mist Sprayer,Shiny Gold,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,LBCyl9LtnGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Lotion Pump,Clear,True,True,Ltn17-415Gl,,True,In Stock,full,body | pump | overcap | collar,[]
live,Cylinder,GBCylBlu5SpryGlMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Gold,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCylBlu5SpryBluMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Blue,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCylBlu5SpryCuMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Copper,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,LBCylBlu9LtnMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Lotion Pump,Matte Silver,True,True,Ltn17-415MattSl,,True,In Stock,full,body | pump | overcap | collar,[]
live,Cylinder,GBCylBlu5SprySlMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Silver,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,LBCylBlu9LtnGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Lotion Pump,Gold,True,True,Ltn17-415Gl,,True,In Stock,full,body | pump | overcap | collar,[]
live,Cylinder,LBCylFrst9LtnMtSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Frosted,Lotion Pump,Matte Silver,True,True,Ltn17-415MattSl,,True,In Stock,full,body | pump | overcap | collar,[]
live,Cylinder,LBCylFrst9LtnGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Frosted,Lotion Pump,Gold,True,True,Ltn17-415Gl,,True,In Stock,full,body | pump | overcap | collar,[]
