sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"GBCyl100RdcrShnBlk","GB-CYL-CLR-100ML-RDC-SBLK","Cylinder","100","Clear","18-415","Reducer","Shiny Black","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCylBlu9SpryBlk","GB-CYL-BLU-9ML-SPR-BLK","Cylinder","9","Cobalt Blue","17-415","Fine Mist Sprayer","Black","true","full","body | sprayer | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5WhtSht","GB-CYL-CBL-5ML-S-02","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Short Ribbed White","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl100RdcrBrwnLthr","GB-CYL-CLR-100ML-RDC-BRLT","Cylinder","100","Clear","18-415","Reducer","Brown Leather","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCylFrst9SpryBlk","GB-CYL-FRS-9ML-SPR-BLK","Cylinder","9","Frosted","17-415","Fine Mist Sprayer","Black","true","full","body | sprayer | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5Gl","GB-CYL-BLU-5ML-GLD-T","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Regular Shiny Gold","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl100RdcrLBrwnLthr","GB-CYL-CLR-100ML-RDC-LBLT","Cylinder","100","Clear","18-415","Reducer","Light Brown Leather","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl100RdcrShnSl","GB-CYL-CLR-100ML-RDC-SSLV","Cylinder","100","Clear","18-415","Reducer","Shiny Silver","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl100RdcrMtSlTall","GB-CYL-CLR-100ML-RDC-MSLV-T","Cylinder","100","Clear","18-415","Reducer","Tall Matte Silver","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBTallCyl9SpryBlkMatt","GB-CYL-CLR-9ML-SPR-MBLK","Cylinder","9","Clear","13-415","Fine Mist Sprayer","Matte Black","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100RdcrMtSl","GB-CYL-CLR-100ML-RDC-MSLV","Cylinder","100","Clear","18-415","Reducer","Matte Silver","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBTallCylFrst9SpryBlkMatt","GB-CYL-FRS-9ML-01","Cylinder","9","Frosted","13-415","Fine Mist Sprayer","Frosted","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100RdcrWht","GB-CYL-CLR-100ML-RDC-WHT","Cylinder","100","Clear","18-415","Reducer","White","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl100RdcrIvyLthr","GB-CYL-CLR-100ML-RDC-IVLT","Cylinder","100","Clear","18-415","Reducer","Ivory Leather","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl100RdcrPnkLthr","GB-CYL-CLR-100ML-RDC-PKLT","Cylinder","100","Clear","18-415","Reducer","Pink Leather","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl50SpryMtGl","GB-CYL-CLR-50ML-SPR-MGLD","Cylinder","50","Clear","18-415","Perfume Spray Pump","Matte Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl50SpryShnGl","GB-CYL-CLR-50ML-SPR-SGLD","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl50SpryShnBlk","GB-CYL-CLR-50ML-SPR-SBLK","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Black","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl50SpryMtSl","GB-CYL-CLR-50ML-SPR-MSLV","Cylinder","50","Clear","18-415","Perfume Spray Pump","Matte Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl50SpryShnSl","GB-CYL-CLR-50ML-SPR-SSLV","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBTallCyl9Gl","GB-CYL-CLR-9ML-GLD-T","Cylinder","9","Clear","13-415","","Gold","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBTallCyl9Sl","GB-CYL-CLR-9ML-SLV-T","Cylinder","9","Clear","13-415","","Silver","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl1ozRollWht","GB-CYL-CLR-28ML-RBL-WHT","Cylinder","28","Clear","16mm","Plastic Roller Ball","White","false","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBTallCylFrst9WhtSht","GB-CYL-FRS-9ML-S-02","Cylinder","9","Frosted","13-415","","Short Ribbed White","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBTallCylFrst9Gl","GB-CYL-FRS-9ML-T-01","Cylinder","9","Frosted","13-415","","Shiny Gold","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBTallCylFrst9Sl","GB-CYL-FRS-9ML-T-20","Cylinder","9","Frosted","13-415","","Shiny Silver","true","capSplit","body | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBSpry1ozGl","GB-SPR-CLR-30ML-GLD","Cylinder","30","Clear","18-415","","Shiny Gold","false","capSplit","body | overcap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBSpry1ozSl","GB-SPR-CLR-30ML-SLV","Cylinder","30","Clear","18-415","","Silver","false","capSplit","body | overcap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl50RollWht","GB-CYL-WHT-50ML-ROL-WHT","Cylinder","50","Clear","16mm","Plastic Roller Ball","White","false","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBCyl50SpryCu","GB-CYL-CLR-50ML-SPR-CPR","Cylinder","50","Clear","18-415","Perfume Spray Pump","Copper","true","full","diptube | body | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100SpryCu","GB-CYL-CLR-100ML-SPR-CPR","Cylinder","100","Clear","18-415","Perfume Spray Pump","Copper","true","full","diptube | body | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl5MtlRollBlkSh","GB-CYL-CLR-5ML-MRL-SBLK","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Black","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5MtlRollCuMatt","GB-CYL-CLR-5ML-MRL-MCPR","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Copper","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5MtlRollGlMatt","GB-CYL-CLR-5ML-MRL-MGLD","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Gold","false","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCyl5MtlRollGlSh","GB-CYL-CLR-5ML-MRL-SGLD","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Gold","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5MtlRollPinkDot","GB-CYL-CLR-5ML-MRL-PKDT","Cylinder","5","Clear","13-415","Metal Roller Ball","Pink with Dots","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5MtlRollSlDot","GB-CYL-CLR-5ML-MRL-SLDT","Cylinder","5","Clear","13-415","Metal Roller Ball","Silver with Dots","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5MtlRollSlMatt","GB-CYL-CLR-5ML-MRL-MSLV","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Silver","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5MtlRollSlSh","GB-CYL-CLR-5ML-MRL-SSLV","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Silver","false","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl50RdcrBlkLthr","GB-CYL-CLR-50ML-RDC-BKLT","Cylinder","50","Clear","18-415","Reducer","Black Leather","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBSpry3mlClWht","GB-SPR-CLR-3ML-WHT","Cylinder","3.3","Clear","12mm","Fine Mist Sprayer","Clear","false","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollBlkSh","GB-CYL-BLU-5ML-MRL-SBLK","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Black","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBSpry4mlClWh","GB-SPR-CLR-4ML-WHT","Cylinder","4","Clear","12mm","Fine Mist Sprayer","Clear","false","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollCuMatt","GB-CYL-BLU-5ML-MRL-MCPR","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Copper","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SprySlMatt","GB-CYL-CLR-5ML-SPR-MSLV","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Silver","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollGlMatt","GB-CYL-BLU-5ML-MRL-MGLD","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Gold","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SpryBlkSh","GB-CYL-CLR-5ML-SPR-SBLK","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Black","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollGlSh","GB-CYL-BLU-5ML-MRL-SGLD","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Gold","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SpryGlSh","GB-CYL-CLR-5ML-SPR-SGLD","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Gold","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100SpryMtGl","GB-CYL-CLR-100ML-SPR-MGLD","Cylinder","100","Clear","18-415","Perfume Spray Pump","Matte Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollPinkDot","GB-CYL-BLU-5ML-MRL-PKDT","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Pink with Dots","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SprySlSh","GB-CYL-CLR-5ML-SPR-SSLV","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Silver","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100SpryShnGl","GB-CYL-CLR-100ML-SPR-SGLD","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollSlDot","GB-CYL-BLU-5ML-MRL-SLDT","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Silver with Dots","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SpryBluMatt","GB-CYL-CLR-5ML-SPR-MBLU","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Blue","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100SpryShnBlk","GB-CYL-CLR-100ML-SPR-SBLK","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Black","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollSlMatt","GB-CYL-BLU-5ML-MRL-MSLV","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Silver","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SpryCuMatt","GB-CYL-CLR-5ML-SPR-MCPR","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Copper","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100SpryMtSl","GB-CYL-CLR-100ML-SPR-MSLV","Cylinder","100","Clear","18-415","Perfume Spray Pump","Matte Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCylBlu5MtlRollSlSh","GB-CYL-BLU-5ML-MRL-SSLV","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Silver","true","capSplit","body | cap","partial_kit_requires_visual_review | roller_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5SpryGlMatt","GB-CYL-CLR-5ML-SPR-MGLD","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Gold","false","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100SpryShnSl","GB-CYL-CLR-100ML-SPR-SSLV","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCyl100RdcrBlkLthr","GB-CYL-CLR-100ML-RDC-BKLT","Cylinder","100","Clear","18-415","Reducer","Black Leather","true","capSplit","body | fitment","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl50AnSpBlk","GB-CYL-CLR-50ML-ASP-BLK","Cylinder","50","Clear","18-415","Vintage Bulb Sprayer","Black","true","full","diptube | body | sprayer","","pending_exact_source_and_render_review"
"GBCyl50AnSpTslBlk","GB-CYL-CLR-50ML-AST-BLK","Cylinder","50","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","true","full","diptube | body | sprayer","","pending_exact_source_and_render_review"
"LBCylAmb9LtnGl","LB-CYL-AMB-9ML-LPM-GLD","Cylinder","9","Amber","17-415","Lotion Pump","Gold","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5SprySlSh","GB-CYL-BLU-5ML-SPR-SSLV","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Silver","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylAmb9LtnMtSl","LB-CYL-AMB-9ML-LPM-MSLV","Cylinder","9","Amber","17-415","Lotion Pump","Matte Silver","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5SpryBlkSh","GB-CYL-BLU-5ML-SPR-SBLK","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Black","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCyl9LtnMtSl","LB-CYL-CLR-9ML-T-03","Cylinder","9","Clear","17-415","Lotion Pump","Clear","true","full","body | diptube | pump | overcap | collar","","pending_exact_source_and_render_review"
"GBCylBlu5SpryGlSh","GB-CYL-BLU-5ML-SPR-SGLD","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Gold","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCyl9LtnGl","LB-CYL-CLR-9ML-T-02","Cylinder","9","Clear","17-415","Lotion Pump","Clear","true","full","body | diptube | pump | overcap | collar","","pending_exact_source_and_render_review"
"GBCylBlu5SpryGlMatt","GB-CYL-BLU-5ML-SPR-MGLD","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Gold","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5SpryBluMatt","GB-CYL-BLU-5ML-SPR-MBLU","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Blue","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5SpryCuMatt","GB-CYL-BLU-5ML-SPR-MCPR","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Copper","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylBlu9LtnMattSl","LB-CYL-BLU-9ML-LPM-MSLV","Cylinder","9","Cobalt Blue","17-415","Lotion Pump","Matte Silver","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCylBlu5SprySlMatt","GB-CYL-BLU-5ML-SPR-MSLV","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Silver","true","full","body | sprayer | overcap","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylBlu9LtnGl","LB-CYL-BLU-9ML-LPM-GLD","Cylinder","9","Cobalt Blue","17-415","Lotion Pump","Gold","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylFrst9LtnMtSl","LB-CYL-FRS-9ML-LPM-MSLV","Cylinder","9","Frosted","17-415","Lotion Pump","Matte Silver","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylFrst9LtnGl","LB-CYL-FRS-9ML-LPM-GLD","Cylinder","9","Frosted","17-415","Lotion Pump","Gold","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylSwrl9LtnMtSl","LB-CYL-CLR-9ML-LPM-MSLV","Cylinder","9","Swirl","17-415","Lotion Pump","Matte Silver","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCylSwrl9LtnGl","LB-CYL-CLR-9ML-LPM-GLD","Cylinder","9","Swirl","17-415","Lotion Pump","Gold","true","full","body | pump | overcap | collar","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCyl5RollBlkDot","GB-CYL-CLR-5ML-ROL-BKDT","Cylinder","5","Clear","13-415","Plastic Roller Ball","Black with Dots","false","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBCyl5RollSlSh","GB-CYL-CLR-5ML-ROL-SSLV","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Silver","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"LBCyl25LtnMtGl","LB-CYL-CLR-25ML-LPM-MGLD","Cylinder","25","Clear","18-415","Lotion Pump","Matte Gold","true","full","body | diptube | pump | overcap","","pending_exact_source_and_render_review"
"LBCyl25LtnShnGl","LB-CYL-CLR-25ML-LPM-SGLD","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Gold","true","full","body | diptube | pump | overcap","","pending_exact_source_and_render_review"
"GBCyl5RollBlkSh","GB-CYL-CLR-5ML-ROL-SBLK","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Black","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCylBlu5RollBlkDot","GB-CYL-BLU-5ML-ROL-BKDT","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Black with Dots","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"LBCyl25LtnShnBlk","LB-CYL-CLR-25ML-LPM-SBLK","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Black","true","full","body | diptube | pump | overcap","","pending_exact_source_and_render_review"
"GBCyl5RollGlSh","GB-CYL-CLR-5ML-ROL-SGLD","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Gold","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"LBCyl25LtnMtSl","LB-CYL-CLR-25ML-LPM-MSLV","Cylinder","25","Clear","18-415","Lotion Pump","Matte Silver","true","full","body | diptube | pump | overcap","","pending_exact_source_and_render_review"
"GBCyl5RollSlDot","GB-CYL-CLR-5ML-ROL-SLDT","Cylinder","5","Clear","13-415","Plastic Roller Ball","Silver with Dots","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"LBCyl25LtnShnSl","LB-CYL-CLR-25ML-LPM-SSLV","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Silver","true","full","body | diptube | pump | overcap","","pending_exact_source_and_render_review"
"GBCyl5RollPinkDot","GB-CYL-CLR-5ML-ROL-PKDT","Cylinder","5","Clear","13-415","Plastic Roller Ball","Pink with Dots","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"LBCyl25LtnCu","LB-CYL-CLR-25ML-LPM-CPR","Cylinder","25","Clear","18-415","Lotion Pump","Copper","true","full","diptube | body | pump | overcap","","pending_exact_source_and_render_review"
"GBCyl5RollCuMatt","GB-CYL-CLR-5ML-ROL-MCPR","Cylinder","5","Clear","13-415","Plastic Roller Ball","Matte Copper","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCylAmb9RollBlkDot","GB-CYL-AMB-9ML-ROL-BKDT","Cylinder","9","Amber","17-415","Plastic Roller Ball","Black Dotted","false","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBCyl100AnSpBlk","GB-CYL-CLR-100ML-ASP-BLK","Cylinder","100","Clear","18-415","Vintage Bulb Sprayer","Black","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCyl5RollGlMatt","GB-CYL-CLR-5ML-ROL-MGLD","Cylinder","5","Clear","13-415","Plastic Roller Ball","Matte Gold","false","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBCyl100AnSpTslBlk","GB-CYL-CLR-100ML-AST-BLK","Cylinder","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","true","full","diptube | body | sprayer","","pending_exact_source_and_render_review"
"GBCyl5RollSlMatt","GB-CYL-CLR-5ML-ROL-MSLV","Cylinder","5","Clear","13-415","Plastic Roller Ball","Matte Silver","false","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCylBlu9RollBlkDot","GB-CYL-BLU-9ML-ROL-BKDT","Cylinder","9","Cobalt Blue","17-415","Plastic Roller Ball","Black Dotted","true","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBCylFrst9RollBlkDot","GB-CYL-FRS-9ML-ROL-BKDT","Cylinder","9","Frosted","17-415","Plastic Roller Ball","Black Dotted","true","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBCyl9RollBlkDot","GB-CYL-CLR-9ML-T-11","Cylinder","9","Clear","17-415","Plastic Roller Ball","Black with Dots","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCylSwrl9RollBlkDot","GB-CYL-CLR-9ML-ROL-BKDT-01","Cylinder","9","Swirl","17-415","Plastic Roller Ball","Black Dotted","true","full","body | roller | cap","","pending_exact_source_and_render_review"
"GBTallCyl9RollBlkDot","GB-CYL-CLR-9ML-ROL-BKDT-02","Cylinder","9","Clear","13-415","Plastic Roller Ball","Black with Dots","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBTallCylFrst9RollBlkDot","GB-CYL-FRS-9ML-T-11","Cylinder","9","Frosted","13-415","Plastic Roller Ball","Black with Dots","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollMattSl","GB-CYL-CLR-9ML-MRL-MSLV-01","Cylinder","9","Clear","17-415","Metal Roller Ball","Matte Silver","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCyl9MtlRollSlDot","GB-CYL-CLR-9ML-T-09","Cylinder","9","Clear","17-415","Metal Roller Ball","Silver with Dots","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCyl9MtlRollPnkDot","GB-CYL-CLR-9ML-T-05","Cylinder","9","Clear","17-415","Metal Roller Ball","Pink with Dots","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollGlSh","GB-CYL-BLU-5ML-ROL-SGLD","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Shiny Gold","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollMattGl","GB-CYL-CLR-9ML-T-04","Cylinder","9","Clear","17-415","Metal Roller Ball","Matte Gold","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollSlSh","GB-CYL-BLU-5ML-ROL-SSLV","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Shiny Silver","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollShnGl","GB-CYL-CLR-9ML-T-07","Cylinder","9","Clear","17-415","Metal Roller Ball","Shiny Gold","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollBlkSh","GB-CYL-BLU-5ML-ROL-SBLK","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Shiny Black","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollShnSl","GB-CYL-CLR-9ML-T-08","Cylinder","9","Clear","17-415","Metal Roller Ball","Shiny Silver","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollGlMatt","GB-CYL-BLU-5ML-ROL-MGLD","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Matte Gold","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollMattCu","GB-CYL-CLR-9ML-T-03","Cylinder","9","Clear","17-415","Metal Roller Ball","Matte Copper","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollPinkDot","GB-CYL-BLU-5ML-ROL-PKDT","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Pink with Dots","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollShBlk","GB-CYL-CLR-9ML-T-06","Cylinder","9","Clear","17-415","Metal Roller Ball","Shiny Black","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollSlDot","GB-CYL-BLU-5ML-ROL-SLDT","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Silver with Dots","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCyl9MtlRollWht","GB-CYL-CLR-9ML-T-10","Cylinder","9","Clear","17-415","Metal Roller Ball","White","true","full","roller | body | cap","","pending_exact_source_and_render_review"
"GBCylBlu5RollCuMatt","GB-CYL-BLU-5ML-ROL-MCPR","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Matte Copper","true","capSplit","body | roller | cap","partial_kit_requires_visual_review","pending_exact_source_and_render_review"
"GBCylAmb9MtlRollWht","GB-CYL-AMB-9ML-MRL-WHT","Cylinder","9","Amber","17-415","Metal Roller Ball","White","false","full","roller | body | cap","","pending_exact_source_and_render_review"
