sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"GBCrclFrst100AnSpBlk","GB-CIR-FRS-100ML-ASP-BLK","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Black","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslBlk","GB-CIR-FRS-100ML-ASP-01","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","full","sprayer | body","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl100AnSpGl","GB-CIR-CLR-100ML-ASP-GLD","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Gold","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpLvn","GB-CIR-CLR-100ML-ASP-LVN","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Lavender","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpIvySl","GB-CIR-CLR-100ML-ASP-IVSL","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Ivory Silver","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpRed","GB-CIR-CLR-100ML-ASP-RED","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Red","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpMtSl","GB-CIR-CLR-100ML-ASP-MSLV","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Matte Silver","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpIvyGl","GB-CIR-CLR-100ML-ASP-IVGD","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Ivory Gold","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpWht","GB-CIR-CLR-100ML-ASP-WHT","Circle","100","Clear","18-415","Vintage Bulb Sprayer","White","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpPnk","GB-CIR-CLR-100ML-ASP-PNK","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Pink","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslGl","GB-CIR-CLR-100ML-AST-GLD","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Gold","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslIvyGl","GB-CIR-CLR-100ML-AST-IVGD","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Ivory Gold","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslLvn","GB-CIR-CLR-100ML-AST-LVN","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Lavender","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslPnk","GB-CIR-CLR-100ML-AST-PNK","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Pink","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslIvySl","GB-CIR-CLR-100ML-AST-IVSL","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Ivory Silver","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslRed","GB-CIR-CLR-100ML-AST-RED","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Red","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslWht","GB-CIR-CLR-100ML-AST-WHT","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","White","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl15RollBlkDot","GB-CIR-CLR-15ML-ROL-BKDT","Circle","15","Clear","13-415","Plastic Roller Ball","Black Dotted","true","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslMtSl","GB-CIR-CLR-100ML-AST-MSLV","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Matte Silver","true","full","diptube | body | sprayer","","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpGl","GB-CIR-FRS-100ML-ASP-SGLD","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Shiny Gold","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpIvyGl","GB-CIR-FRS-100ML-ASP-IVGD","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Ivory Gold","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpLvn","GB-CIR-FRS-100ML-ASP-LVN","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Lavender","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpPnk","GB-CIR-FRS-100ML-ASP-PNK","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Pink","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpRed","GB-CIR-FRS-100ML-ASP-RED","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Red","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpMtSl","GB-CIR-FRS-100ML-ASP-MSLV","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Matte Silver","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpWht","GB-CIR-FRS-100ML-ASP-WHT","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","White","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpIvySl","GB-CIR-FRS-100ML-ASP-IVSL","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Ivory Silver","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslIvyGl","GB-CIR-FRS-100ML-AST-IVGD","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Ivory Gold","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslIvySl","GB-CIR-FRS-100ML-ASP-02","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslGl","GB-CIR-FRS-100ML-AST-GLD","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Gold","true","full","sprayer | body","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslLvn","GB-CIR-FRS-100ML-ASP-03","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
