role,sku,family,status,desktopCandidates,clientCandidates,sourceUrl
assembly,GBRndFrst78SpryMtSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/24. GBRndFrst78SpryMtSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/23. GBRndFrst78SpryMtSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/24. GBRndFrst78SpryMtSl.psd",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-matte-silver-spray-pump-and-cap
assembly,GBRndFrst78SpryShnSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/30. GBRndFrst78SpryShnSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/29. GBRndFrst78SpryShnSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/30. GBRndFrst78SpryShnSl.psd",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-shiny-silver-spray-and-cap
assembly,GBRnd128SpryCu,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/7.  128ml Round, Ltn & Spry, capped/57. GBRnd128SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/56. GBRnd128SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/57. GBRnd128SpryCu.psd",https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-matte-copper-spray-and-cap
assembly,GBRndFrst78SpryShnBlk,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/21. GBRndFrst78SpryShnBlk.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/19. GBRndFrst78SpryShnBlk.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/21. GBRndFrst78SpryShnBlk.psd",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-shiny-black-spray-pump-and-cap
assembly,GBRndFrst128SpryCu,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/56. GBRndFrst128SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/57. GBRndFrst128SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/10. 128ml Round Frst, Ltn & Spry capped/57. GBRndFrst128SpryCu.psd",https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-matte-copper-spray-and-cap
assembly,GBRndFrst78SpryMtGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/11. GBRndFrst78SpryMtGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/11. GBRndFrst78SpryMtGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/13. GBRndFrst78SpryMtGl.psd",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-matte-gold-spray-pump-and-cap
assembly,GBRnd128DrpSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/51. GBRnd128DrpSl.psd,https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-white-dropper-shiny-silver-collar-cap
assembly,GBRnd128DrpGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /7. Round (clear) 128ml /1. Round (clear) 128ml  Psd/52. GBRnd128DrpGl.psd,https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-white-dropper-shiny-gold-collar-cap
assembly,GBRndFrst128DrpSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/51. GBRndFrst128DrpSl.psd,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-white-dropper-shiny-silver-collar-cap
assembly,GBRndFrst128DrpGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/53. GBRndFrst128DrpGl.psd,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-white-dropper-shiny-gold-collar-cap
