sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentSellableReason,assemblySellableReason,componentStandaloneSellable,sourceUrl
"GBCrclFrst50AnSpTslLvn","Circle","50","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","missing_bottle_component_links | exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrclFrst50AnSpTslMtSl","Circle","50","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","missing_bottle_component_links | exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar"
"GBCrclFrst50AnSpTslPnk","Circle","50","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","missing_bottle_component_links | exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrclFrst50AnSpTslRed","Circle","50","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","missing_bottle_component_links | exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrclFrst50AnSpTslWht","Circle","50","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","missing_bottle_component_links | exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrcl15CuSht","Circle","15","Clear","13-415","","Matte Copper","false","exact_component_unresolved","","","","",""
"GBCrcl15GlMattSht","Circle","15","Clear","13-415","","Matte Gold","false","exact_component_unresolved","","","","",""
"GBCrcl15SlMattSht","Circle","15","Clear","13-415","","Matte Silver","false","exact_component_unresolved","","","","",""
"GBCrcl15BlkShSht","Circle","15","Clear","13-415","","Shiny Black","false","exact_component_unresolved","","","","",""
"GBCrcl15GlSht","Circle","15","Clear","13-415","","Shiny Gold","false","exact_component_unresolved","","","","",""
"GBCrcl15SlSht","Circle","15","Clear","13-415","","Shiny Silver","false","exact_component_unresolved","","","","",""
"LBCyl100LtnClOvrCap","Cylinder","100","Clear","18-415","Lotion Pump","Clear Overcap","true","","Ltn18-415MtSlCl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap"
"GBMtlRoll28Wht","Cylinder","28","Clear","16mm","Metal Roller Ball","White","false","media_or_configuration_invalid","GBMtlRoll28Wht","","","","https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-metal-roll-on-and-white-cap"
"GBSpry3mlClBlk","Cylinder","3.3","Clear","12mm","Fine Mist Sprayer","Clear","false","media_or_configuration_invalid","GBSpry3mlClBlk","","","","https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-3ml"
"GBSpry4mlClBlk","Cylinder","4","Clear","12mm","Fine Mist Sprayer","Clear","false","media_or_configuration_invalid","GBSpry4mlClBlk","","","","https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-Black-Sprayer-4ml"
"GBCyl5SpryBlkMatt","Cylinder","5.5","Clear","13-415","Fine Mist Sprayer","Matte Black","false","assembly_stock_unavailable","CP13-415SpryBlkMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-black-spray"
"GBCyl5Sl","Cylinder","5","Clear","13-415","Cap/Closure","Regular Shiny Silver","true","","CP13-415Sl","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-silver-cap"
"GBCyl50MtlRollWht","Cylinder","50","Clear","16mm","Metal Roller Ball","White","false","media_or_configuration_invalid","GBCyl50MtlRollWht","","","","https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-metal-roll-on-and-white-cap"
"GBCyl5Gl","Cylinder","5","Clear","13-415","Cap/Closure","Regular Shiny Gold","true","","CP13-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-gold-cap"
"GBCyl9SpryBlk","Cylinder","9","Clear","17-415","Fine Mist Sprayer","Clear","true","","Spry17-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-sprayer-black-trim-and-cap"
"GBCyl100RdcrShnGl","Cylinder","100","Clear","18-415","Reducer","Shiny Gold","true","","CP18-415ShnGl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-shiny-gold-cap"
"GBCylAmb9SpryBlk","Cylinder","9","Amber","17-415","Fine Mist Sprayer","Black","true","","Spry17-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-amber-glass-bottle-sprayer-black-trim-and-cap"
"GBCyl100RdcrShnBlkTall","Cylinder","100","Clear","18-415","Reducer","Tall Shiny Black","true","","CP18-415ShnBlkTall","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-tall-black-shiny-cap"
"GBCylBlu5Sl","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Regular Shiny Silver","true","","CP13-415Sl","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-silver-cap"
"GBCyl100RdcrShnBlk","Cylinder","100","Clear","18-415","Reducer","Shiny Black","true","","GBCyl100RdcrShnBlk","","","","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-black-shiny-cap"
"GBCylBlu9SpryBlk","Cylinder","9","Cobalt Blue","17-415","Fine Mist Sprayer","Black","true","","Spry17-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-cobalt-blue-glass-bottle-sprayer-black-trim-and-cap"
"GBCylBlu5WhtSht","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Short Ribbed White","true","","CP13-415WhtSht","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-white-cap"
"GBCyl100RdcrBrwnLthr","Cylinder","100","Clear","18-415","Reducer","Brown Leather","true","","CP18-415BrwnLthr","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap"
"GBCylFrst9SpryBlk","Cylinder","9","Frosted","17-415","Fine Mist Sprayer","Black","true","","Spry17-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-frosted-glass-bottle-sprayer-black-trim-and-cap"
"GBCylBlu5Gl","Cylinder","5","Cobalt Blue","13-415","Cap/Closure","Regular Shiny Gold","true","","CP13-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-gold-cap"
"GBCyl100RdcrLBrwnLthr","Cylinder","100","Clear","18-415","Reducer","Light Brown Leather","true","","CP18-415LBrwnLthr","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBCyl100RdcrShnSl","Cylinder","100","Clear","18-415","Reducer","Shiny Silver","true","","CP18-415ShnSl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-shiny-silver-cap"
"GBCyl100RdcrMtSlTall","Cylinder","100","Clear","18-415","Reducer","Tall Matte Silver","true","","CP18-415MtSlTall","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-tall-silver-matte-cap"
"GBTallCyl9SpryBlkMatt","Cylinder","9","Clear","13-415","Fine Mist Sprayer","Matte Black","true","","CP13-415SpryBlkMt","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-black-spray"
"GBCyl100RdcrMtSl","Cylinder","100","Clear","18-415","Reducer","Matte Silver","true","","CP18-415MtSl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-silver-matte-cap"
"GBTallCylFrst9SpryBlkMatt","Cylinder","9","Frosted","13-415","Fine Mist Sprayer","Frosted","true","","CP13-415SpryBlkMt","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-black-spray"
"GBCyl100RdcrWht","Cylinder","100","Clear","18-415","Reducer","White","true","","CP18-415Wh","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-white-cap"
"GBCyl100RdcrIvyLthr","Cylinder","100","Clear","18-415","Reducer","Ivory Leather","true","","CP18-415LIvyLthr","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-ivory-faux-leather-cap"
"GBCyl100RdcrPnkLthr","Cylinder","100","Clear","18-415","Reducer","Pink Leather","true","","CP18-415LPnkLthr","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-pink-faux-leather-cap"
"GBCyl50SpryMtGl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Matte Gold","true","","Spry18-415MtGl","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCyl50SpryShnGl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","","Spry18-415ShnGl","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCyl50SpryShnBlk","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Black","true","","Spry18-415ShnBlk","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCyl50SpryMtSl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Matte Silver","true","","Spry18-415MtSl","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCyl50SpryShnSl","Cylinder","50","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","","Spry18-415ShnSl","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-shiny-silver-spray-and-cap"
"GBTallCyl9Gl","Cylinder","9","Clear","13-415","","Gold","true","","CP13-415Gl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-gold-cap"
"GBTallCyl9Sl","Cylinder","9","Clear","13-415","","Silver","true","","CP13-415Sl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-silver-cap"
"GBCyl1ozRollWht","Cylinder","28","Clear","16mm","Plastic Roller Ball","White","false","media_or_configuration_invalid","GBCyl1ozRollWht","","","","https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-plastic-roll-on-and-white-cap"
"GBTallCylFrst9WhtSht","Cylinder","9","Frosted","13-415","","Short Ribbed White","true","","CP13-415WhtSht","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-white-cap"
"GBTallCylFrst9Gl","Cylinder","9","Frosted","13-415","","Shiny Gold","true","","CP13-415Gl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-gold-cap"
"GBTallCylFrst9Sl","Cylinder","9","Frosted","13-415","","Shiny Silver","true","","CP13-415Sl","","","true","https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-silver-cap"
"GBSpry1ozGl","Cylinder","30","Clear","18-415","","Shiny Gold","false","media_or_configuration_invalid","GBSpry1ozGl","","","","https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Gold-1oz"
"GBSpry1ozSl","Cylinder","30","Clear","18-415","","Silver","false","media_or_configuration_invalid","GBSpry1ozSl","","","","https://www.bestbottles.com/product/Tube-Glass-Bottle-Sprayer-atomizer-Matte-Silver-1oz"
"GBCyl50RollWht","Cylinder","50","Clear","16mm","Plastic Roller Ball","White","false","media_or_configuration_invalid","GBCyl50RollWht","","","","https://www.bestbottles.com/product/cylinder-style-50-ml-glass-bottle-plastic-roll-on-and-white-cap"
"GBCyl50SpryCu","Cylinder","50","Clear","18-415","Perfume Spray Pump","Copper","true","","Spry18-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-copper-spray-and-cap"
"GBCyl100SpryCu","Cylinder","100","Clear","18-415","Perfume Spray Pump","Copper","true","","Spry18-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-matte-copper-spray-and-cap"
"GBCyl5MtlRollBlkSh","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Black","false","assembly_stock_unavailable","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap"
"GBCyl5MtlRollCuMatt","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Copper","false","assembly_stock_unavailable","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap"
"GBCyl5MtlRollGlMatt","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Gold","false","assembly_stock_unavailable","CPRoll13-415GlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap"
"GBCyl5MtlRollGlSh","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Gold","false","assembly_stock_unavailable","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-shiny-gold-cap"
"GBCyl5MtlRollPinkDot","Cylinder","5","Clear","13-415","Metal Roller Ball","Pink with Dots","false","assembly_stock_unavailable","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots"
"GBCyl5MtlRollSlDot","Cylinder","5","Clear","13-415","Metal Roller Ball","Silver with Dots","false","assembly_stock_unavailable","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots"
"GBCyl5MtlRollSlMatt","Cylinder","5","Clear","13-415","Metal Roller Ball","Matte Silver","false","assembly_stock_unavailable","CPRoll13-415SlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-silver-cap"
"GBCyl5MtlRollSlSh","Cylinder","5","Clear","13-415","Metal Roller Ball","Shiny Silver","false","assembly_stock_unavailable","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-shiny-silver-cap"
"GBCyl50RdcrBlkLthr","Cylinder","50","Clear","18-415","Reducer","Black Leather","true","","CP18-415BlkLthr","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-reducer-black-faux-leather-cap"
"GBSpry3mlClWht","Cylinder","3.3","Clear","12mm","Fine Mist Sprayer","Clear","false","media_or_configuration_invalid","GBSpry3mlClWht","","","","https://www.bestbottles.com/product/Sample-Promotional-Decant-Spray-clear-glass-vial-White-Sprayer-3ml"
"GBCylBlu5MtlRollBlkSh","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Black","true","","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-black-shiny-cap"
"GBSpry4mlClWh","Cylinder","4","Clear","12mm","Fine Mist Sprayer","Clear","false","media_or_configuration_invalid","GBSpry4mlClWh","","","","https://www.bestbottles.com/product/Glass-vial-sprayer-white-promotional-sample-size-4ml"
"GBCylBlu5MtlRollCuMatt","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Copper","true","","CPRoll13-415Cu","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-copper-cap"
"GBCyl5SprySlMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Silver","false","assembly_stock_unavailable","CP13-415SprySlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-silver-spray"
"GBCylBlu5MtlRollGlMatt","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Gold","true","","CPRoll13-415GlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-gold-cap"
"GBCyl5SpryBlkSh","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Black","false","assembly_stock_unavailable","CP13-415SpryBlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-black-spray"
"GBCylBlu5MtlRollGlSh","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Gold","true","","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-shiny-gold-cap"
"GBCyl5SpryGlSh","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Gold","false","assembly_stock_unavailable","CP13-415SpryGlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-gold-spray"
"GBCyl100SpryMtGl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Matte Gold","true","","Spry18-415MtGl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCylBlu5MtlRollPinkDot","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Pink with Dots","true","","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots"
"GBCyl5SprySlSh","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Shiny Silver","false","assembly_stock_unavailable","CP13-415SprySlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-silver-spray"
"GBCyl100SpryShnGl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","","Spry18-415ShnGl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCylBlu5MtlRollSlDot","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Silver with Dots","true","","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots"
"GBCyl5SpryBluMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Blue","false","assembly_stock_unavailable","CP13-415SpryBluMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-blue-spray"
"GBCyl100SpryShnBlk","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Black","true","","Spry18-415ShnBlk","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCylBlu5MtlRollSlMatt","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Matte Silver","true","","CPRoll13-415SlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-silver-cap"
"GBCyl5SpryCuMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Copper","false","assembly_stock_unavailable","CP13-415SpryCuMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-copper-spray"
"GBCyl100SpryMtSl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Matte Silver","true","","Spry18-415MtSl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCylBlu5MtlRollSlSh","Cylinder","5","Cobalt Blue","13-415","Metal Roller Ball","Shiny Silver","true","","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-shiny-silver-cap"
"GBCyl5SpryGlMatt","Cylinder","5","Clear","13-415","Fine Mist Sprayer","Matte Gold","false","assembly_stock_unavailable","CP13-415SpryGlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-gold-spray"
"GBCyl100SpryShnSl","Cylinder","100","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","","Spry18-415ShnSl","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-shiny-silver-spray-and-cap"
"GBCyl100RdcrBlkLthr","Cylinder","100","Clear","18-415","Reducer","Black Leather","true","","CP18-415BlkLthr","","","true","https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-reducer-black-faux-leather-cap"
"GBCyl50AnSpBlk","Cylinder","50","Clear","18-415","Vintage Bulb Sprayer","Black","true","","AnSp18-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCyl50AnSpTslBlk","Cylinder","50","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","true","","AnSpTsl18-415Blk","","","true","https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"LBCylAmb9LtnGl","Cylinder","9","Amber","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-amber-glass-bottle-lotion-pump-gold-trim-and-cap"
"GBCylBlu5SprySlSh","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Silver","true","","CP13-415SprySlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-silver-spray"
"LBCylAmb9LtnMtSl","Cylinder","9","Amber","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-amber-glass-bottle-lotion-pump-matte-silver-trim-cap"
"GBCylBlu5SpryBlkSh","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Black","true","","CP13-415SpryBlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-black-spray"
"LBCyl9LtnMtSl","Cylinder","9","Clear","17-415","Lotion Pump","Clear","true","","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-lotion-pump-matte-silver-trim-cap"
"GBCylBlu5SpryGlSh","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Shiny Gold","true","","CP13-415SpryGlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-gold-spray"
"LBCyl9LtnGl","Cylinder","9","Clear","17-415","Lotion Pump","Clear","true","","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-clear-glass-bottle-lotion-pump-gold-trim-and-cap"
"GBCylBlu5SpryGlMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Gold","true","","CP13-415SpryGlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-gold-spray"
"GBCylBlu5SpryBluMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Blue","true","","CP13-415SpryBluMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-blue-spray"
"GBCylBlu5SpryCuMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Copper","true","","CP13-415SpryCuMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-copper-spray"
"LBCylBlu9LtnMattSl","Cylinder","9","Cobalt Blue","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-cobalt-blue-glass-bottle-lotion-pump-matte-silver-trim-cap"
"GBCylBlu5SprySlMatt","Cylinder","5","Cobalt Blue","13-415","Fine Mist Sprayer","Matte Silver","true","","CP13-415SprySlMt","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-silver-spray"
"LBCylBlu9LtnGl","Cylinder","9","Cobalt Blue","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-cobalt-blue-glass-bottle-lotion-pump-gold-trim-and-cap"
"LBCylFrst9LtnMtSl","Cylinder","9","Frosted","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-frosted-glass-bottle-lotion-pump-matte-silver-trim-cap"
"LBCylFrst9LtnGl","Cylinder","9","Frosted","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-frosted-glass-bottle-lotion-pump-gold-trim-and-cap"
"LBCylSwrl9LtnMtSl","Cylinder","9","Swirl","17-415","Lotion Pump","Matte Silver","true","","Ltn17-415MattSl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-swirl-glass-bottle-lotion-pump-matte-silver-trim-cap"
"LBCylSwrl9LtnGl","Cylinder","9","Swirl","17-415","Lotion Pump","Gold","true","","Ltn17-415Gl","","","true","https://www.bestbottles.com/product/cylinder-design-9-ml-swirl-glass-bottle-lotion-pump-gold-trim-and-cap"
"GBCyl5RollBlkDot","Cylinder","5","Clear","13-415","Plastic Roller Ball","Black with Dots","false","assembly_stock_unavailable","CPRoll13-415BlackDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
"GBCyl5RollSlSh","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Silver","false","assembly_stock_unavailable","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap"
"LBCyl25LtnMtGl","Cylinder","25","Clear","18-415","Lotion Pump","Matte Gold","true","","Ltn18-415MtGl","","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-matte-gold-lotion-pump-and-cap"
"LBCyl25LtnShnGl","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Gold","true","","Ltn18-415ShnGl","","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-shiny-gold-lotion-pump-and-cap"
"GBCyl5RollBlkSh","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Black","false","assembly_stock_unavailable","CPRoll13-415BlkSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap"
"GBCylBlu5RollBlkDot","Cylinder","5","Cobalt Blue","13-415","Plastic Roller Ball","Black with Dots","true","","CPRoll13-415BlackDot","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
"LBCyl25LtnShnBlk","Cylinder","25","Clear","18-415","Lotion Pump","Shiny Black","true","","Ltn18-415ShnBlk","","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-shiny-black-lotion-pump-and-cap"
"GBCyl5RollGlSh","Cylinder","5","Clear","13-415","Plastic Roller Ball","Shiny Gold","false","assembly_stock_unavailable","CPRoll13-415GlSh","","","true","https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap"
"LBCyl25LtnMtSl","Cylinder","25","Clear","18-415","Lotion Pump","Matte Silver","true","","Ltn18-415MtSl","","","true","https://www.bestbottles.com/product/cylinder-design-25-ml-glass-bottle-matte-silver-lotion-pump-and-cap"
