sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentSellableReason,assemblySellableReason,componentStandaloneSellable,sourceUrl
"GBCrcl100RdcrShnBlk","Circle","100","Clear","18-415","Reducer","Shiny Black","false","exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-black-shiny-cap"
"GBCrcl15RollSlDot","Circle","15","Clear","13-415","Plastic Roller Ball","Silver Dotted","true","","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-silver-cap-with-dots"
"GBCrcl100RdcrBrwnLthr","Circle","100","Clear","18-415","Reducer","Clear","true","","CP18-415BrwnLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap"
"GBCrcl15RollSlMatt","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Silver","true","","CPRoll13-415SlMt","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-silver-cap"
"GBCrcl15RollSlSh","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Silver","true","","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-shiny-silver-cap"
"GBCrcl100RdcrLBrwnLthr","Circle","100","Clear","18-415","Reducer","Clear","true","","CP18-415LBrwnLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBCrcl100RdcrShnSl","Circle","100","Clear","18-415","Reducer","Shiny Silver","true","","CP18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-shiny-silver-cap"
"GBCrcl100RdcrMtSlTall","Circle","100","Clear","18-415","Reducer","Matte Silver","true","","CP18-415MtSlTall","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-tall-silver-matte-cap"
"GBCrcl100RdcrMtSl","Circle","100","Clear","18-415","Reducer","Matte Silver","true","","CP18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-silver-matte-cap"
"GBCrcl100RdcrWht","Circle","100","Clear","18-415","Reducer","White","true","","CP18-415Wh","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-white-cap"
"GBCrcl100RdcrIvyLthr","Circle","100","Clear","18-415","Reducer","Ivory","true","","CP18-415LIvyLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-ivory-faux-leather-cap"
"GBCrclFrst100RdcrShnSl","Circle","100","Frosted","18-415","Reducer","Shiny Silver","true","","CP18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-shiny-silver-cap"
"GBCrclFrst100RdcrShnGl","Circle","100","Frosted","18-415","Reducer","Shiny Gold","true","","CP18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-shiny-gold-cap"
"GBCrclFrst100RdcrIvyLthr","Circle","100","Frosted","18-415","Reducer","Ivory","true","","CP18-415LIvyLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-ivory-faux-leather-cap"
"GBCrclFrst100RdcrPnkLthr","Circle","100","Frosted","18-415","Reducer","Pink","true","","CP18-415LPnkLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-pink-faux-leather-cap"
"GBCrclFrst100RdcrShnBlkTall","Circle","100","Frosted","18-415","Reducer","Shiny Black","true","","CP18-415ShnBlkTall","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-tall-black-shiny-cap"
"GBCrclFrst100RdcrShnBlk","Circle","100","Frosted","18-415","Reducer","Shiny Black","false","exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-black-shiny-cap"
"GBCrclFrst100RdcrBrwnLthr","Circle","100","Frosted","18-415","Reducer","Frosted","true","","CP18-415BrwnLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-brown-faux-leather-cap"
"GBCrclFrst100RdcrLBrwnLthr","Circle","100","Frosted","18-415","Reducer","Light Brown Leather","true","","CP18-415LBrwnLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBCrclFrst100RdcrMtSlTall","Circle","100","Frosted","18-415","Reducer","Matte Silver","true","","CP18-415MtSlTall","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap"
"GBCrclFrst100RdcrMtSl","Circle","100","Frosted","18-415","Reducer","Matte Silver","true","","CP18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-silver-matte-cap"
"GBCrclFrst100RdcrWht","Circle","100","Frosted","18-415","Reducer","White","true","","CP18-415Wh","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-white-cap"
"GBCrcl50SpryMtSl","Circle","50","Clear","18-415","Perfume Spray Pump","Matte Silver","true","","Spry18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCrcl50SpryMtGl","Circle","50","Clear","18-415","Perfume Spray Pump","Matte Gold","true","","Spry18-415MtGl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCrcl50SpryShnGl","Circle","50","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","","Spry18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCrcl50SpryShnBlk","Circle","50","Clear","18-415","Perfume Spray Pump","Shiny Black","true","","Spry18-415ShnBlk","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCrcl50SpryShnSl","Circle","50","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","","Spry18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-shiny-silver-spray-and-cap"
"GBCrclFrst50SpryMtGl","Circle","50","Frosted","18-415","Perfume Spray Pump","Matte Gold","true","","Spry18-415MtGl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCrclFrst50SpryShnGl","Circle","50","Frosted","18-415","Perfume Spray Pump","Shiny Gold","true","","Spry18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCrclFrst50SpryShnBlk","Circle","50","Frosted","18-415","Perfume Spray Pump","Shiny Black","true","","Spry18-415ShnBlk","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCrclFrst50SpryMtSl","Circle","50","Frosted","18-415","Perfume Spray Pump","Matte Silver","true","","Spry18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCrcl15SpryBlkMatt","Circle","15","Clear","13-415","Fine Mist Sprayer","Matte Black","true","","CP13-415SpryBlkMt","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-black-spray"
"GBCrclFrst50SpryShnSl","Circle","50","Frosted","18-415","Perfume Spray Pump","Shiny Silver","true","","Spry18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-shiny-silver-spray-and-cap"
"GBCrcl30SpryBlk","Circle","30","Clear","15-415","Perfume Spray Pump","Black","true","","Spry15-415Blk","","","true","https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-black-cap"
"GBCrcl50SpryCu","Circle","50","Clear","18-415","Perfume Spray Pump","Copper","true","","Spry18-415Cu","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-copper-spray-and-cap"
"GBCrcl50DrpSl","Circle","50","Clear","18-415","Dropper","Silver","true","","Drp18-415Sl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-silver-collar-cap"
"GBCrclFrst50SpryCu","Circle","50","Frosted","18-415","Perfume Spray Pump","Copper","true","","Spry18-415Cu","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-copper-spray-and-cap"
"GBCrcl50DrpGl","Circle","50","Clear","18-415","Dropper","Gold","true","","Drp18-415Gl","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-gold-collar-cap"
"GBCrclFrst50DrpSl","Circle","50","Frosted","18-415","Dropper","Silver","false","exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-silver-collar-cap"
"GBCrcl15Gl","Circle","15","Clear","13-415","","Gold","true","","CP13-415Gl","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-gold-cap"
"GBCrclFrst50DrpGl","Circle","50","Frosted","18-415","Dropper","Shiny Gold","false","exact_component_unresolved","","","","","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-white-dropper-shiny-gold-collar-cap"
"GBCrcl15Sl","Circle","15","Clear","13-415","","Silver","true","","CP13-415Sl","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-silver-cap"
"GBCrcl15WhtSht","Circle","15","Clear","13-415","","White","true","","CP13-415WhtSht","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-white-cap"
"GBCrcl15BlkSht","Circle","15","Clear","13-415","","Black","true","","CP13-415BlkSht","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-black-cap"
"GBCrcl100SpryCu","Circle","100","Clear","18-415","Perfume Spray Pump","Copper","true","","Spry18-415Cu","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-copper-spray-and-cap"
"GBCrclFrst100SpryCu","Circle","100","Frosted","18-415","Perfume Spray Pump","Copper","true","","Spry18-415Cu","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-copper-spray-and-cap"
"GBCrcl30GlCap","Circle","30","Clear","15-415","","Gold","true","","CP15-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-shiny-gold-cap"
"GBCrcl30SlCap","Circle","30","Clear","15-415","","Silver","true","","CP15-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-shiny-silver-cap"
"GBCrcl100SpryMtGl","Circle","100","Clear","18-415","Perfume Spray Pump","Matte Gold","true","","Spry18-415MtGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCrcl50RdcrBlkLthr","Circle","50","Clear","18-415","Reducer","Black Leather","true","","CP18-415BlkLthr","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-reducer-black-faux-leather-cap"
"GBCrcl100SpryShnGl","Circle","100","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","","Spry18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCrclFrst50RdcrBlkLthr","Circle","50","Frosted","18-415","Reducer","Black","true","","CP18-415BlkLthr","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-reducer-black-faux-leather-cap"
"GBCrcl100SpryShnBlk","Circle","100","Clear","18-415","Perfume Spray Pump","Shiny Black","true","","Spry18-415ShnBlk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCrcl100SpryMtSl","Circle","100","Clear","18-415","Perfume Spray Pump","Matte Silver","true","","Spry18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCrcl100SpryShnSl","Circle","100","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","","Spry18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-shiny-silver-spray-and-cap"
