sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
GBCylBlu5SprySlSh,5,13-415,Cobalt Blue,Fine Mist Sprayer,Shiny Silver,True,True,,CP13-415SprySlSh,,,False,not deployed
LBCylAmb9LtnMtSl,9,17-415,Amber,Lotion Pump,Matte Silver,True,True,,Ltn17-415MattSl,missing_dip_tube,,False,not deployed
GBCylBlu5SpryBlkSh,5,13-415,Cobalt Blue,Fine Mist Sprayer,Shiny Black,True,True,,CP13-415SpryBlkSh,,,False,not deployed
LBCyl9LtnMtSl,9,17-415,Clear,Lotion Pump,Clear,True,True,,Ltn17-415MattSl,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCylBlu5SpryGlSh,5,13-415,Cobalt Blue,Fine Mist Sprayer,Shiny Gold,True,True,,CP13-415SpryGlSh,,,False,not deployed
LBCyl9LtnGl,9,17-415,Clear,Lotion Pump,Clear,True,True,,Ltn17-415Gl,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCylBlu5SpryGlMatt,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Gold,True,True,,CP13-415SpryGlMt,,,False,not deployed
GBCylBlu5SpryBluMatt,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Blue,True,True,,CP13-415SpryBluMt,,,False,not deployed
GBCylBlu5SpryCuMatt,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Copper,True,True,,CP13-415SpryCuMt,,,False,not deployed
LBCylBlu9LtnMattSl,9,17-415,Cobalt Blue,Lotion Pump,Matte Silver,True,True,,Ltn17-415MattSl,missing_dip_tube,,False,not deployed
GBCylBlu5SprySlMatt,5,13-415,Cobalt Blue,Fine Mist Sprayer,Matte Silver,True,True,,CP13-415SprySlMt,,,False,not deployed
LBCylBlu9LtnGl,9,17-415,Cobalt Blue,Lotion Pump,Gold,True,True,,Ltn17-415Gl,missing_dip_tube,,False,not deployed
LBCylFrst9LtnMtSl,9,17-415,Frosted,Lotion Pump,Matte Silver,True,True,,Ltn17-415MattSl,missing_dip_tube,,False,not deployed
