bodyId,builderBodyId,family,shape,capacityMl,neck,category,compatibilityClass,classSource,glassVariants,currentRecords,retiredRecords,fitmentTypes,heightWithoutCapMm,widthMm,diameterMm,dimsHeightBareMm,dimsDiameterMm,dimsConfidence,dimsSource,representativeGraceSku,representativeWebsiteSku,capOffPlateRecords,capOffPlateExample,status,neckStatus,notes,source,confidence
apothecary-30ml-Ground,apothecary-30ml|Ground|Glass Bottle,Apothecary,,30,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear; Cobalt Blue; Green,3,0,Glass Stopper,58.0,37.0,37.0,,,,,GB-APT-BLU-30ML-BLU-T,GB1ozApthBlue,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
pear-apothecary-118ml-Ground,apothecary-118ml|Ground|Glass Bottle|pear,Apothecary,Pear,118,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear,1,0,,52.2,27.4,27.4,,,,,GB-DEC-CLR-118ML,GBPearClear4ozStpr,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
genie-decorative-32ml-Ground,decorative-32ml|Ground|Glass Bottle|genie,Decorative,Genie,32,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear; Cobalt Blue,2,0,,77.0,42.0,42.0,,,,,GB-GNI-BLU-32ML,GB1ozGenieBl,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/decorative-32ml-cobalt-blue-ground/GB1ozGenieBl/aa73026f5aa7944e823716ff13034b759c5516730e8748db049ef75598df0331.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
eternal-flame-decorative-35ml-Ground,decorative-35ml|Ground|Glass Bottle|eternal-flame,Decorative,Eternal Flame,35,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear; Cobalt Blue; Green,3,0,,44.0,63.0,63.0,,,,,GB-ETF-BLU-35ML,GBEternalFlameBlue,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/decorative-35ml-cobalt-blue-ground/GBEternalFlameBlue/493b0df9e181e03080166c1511ec69142ee9e4ba3d334622ae176abfc7443131.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
pear-decorative-355ml-Ground,decorative-355ml|Ground|Glass Bottle|pear,Decorative,Pear,355,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear,1,0,Glass Stopper,52.2,92.0,92.0,,,,,GB-DEC-CLR-355ML-T,GBCB12ozPear,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
rectangle-9ml-Ground,rectangle-9ml|Ground|Glass Bottle,Rectangle,,9,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear,3,0,Glass Stopper,47.0,24.0,24.0,,,,,GB-RCT-CLR-9ML-T-01,GBSQSTBlue,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
teardrop-9ml-Ground,teardrop-9ml|Ground|Glass Bottle,Teardrop,,9,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Clear; Cobalt Blue; Green,3,0,Glass Stopper,43.0,20.0,20.0,,,,,GB-TRD-BLU-9ML,GBTrdpBlue,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-5ml-PRESS-FIT,cream-jar-5ml|PRESS-FIT|Cream Jar,Cream Jar,Standard,5,PRESS-FIT,Cream Jar,cream-jar,assumed-by-category (not yet ruled),Amber,1,0,,24.0,31.0,31.0,,,,,CJ-JAR-AMB-5ML-SLV,CJAmb5mlSlCap,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-5ml-amber-27mm/CJAmb5mlSlCap/60398c476a48a404ba61bcb38793527ca656be430a700e1cb8c8717f90d7dfaf.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
vial-1ml-Plug,vial-1ml|Plug|Glass Bottle,Vial,,1,Plug,Glass Bottle,glass-Plug,glass shares components by neck finish,Amber; Clear,4,0,,35.0,8.0,8.0,,,,,GB-VIA-AMB-1ML-WHT-T,GB1mlAmbVialWht,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
lotion-bottle-3ml-Snap-On,lotion-bottle-3ml|Snap-On|Glass Bottle,Lotion Bottle,,3,Snap-On,Glass Bottle,glass-Snap-On,glass shares components by neck finish,Clear,1,0,,118.0,33.0,33.0,,,,,LB-LTB-CLR-3ML-CLR-T,LB3mlClear,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
