bodyId,builderBodyId,family,shape,capacityMl,neck,category,compatibilityClass,classSource,glassVariants,currentRecords,retiredRecords,fitmentTypes,heightWithoutCapMm,widthMm,diameterMm,dimsHeightBareMm,dimsDiameterMm,dimsConfidence,dimsSource,representativeGraceSku,representativeWebsiteSku,capOffPlateRecords,capOffPlateExample,status,neckStatus,notes,source,confidence
tola-decorative-3ml-14.3mm,decorative-3ml|14.3mm|Glass Bottle|tola,Decorative,Tola,3,14.3mm,Glass Bottle,glass-14.3mm,glass shares components by neck finish,Clear,1,0,,42.0,18.0,18.0,,,,,GB-DEC-CLR-3ML-T,GB3TPlGl,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/decorative-3ml-clear-14-3mm/GB3TPlGl/0d429254960f16440c2d5f46bb1a4d2bb9eed8323f26fc74aafe3a09de83f1f3.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
tola-decorative-6ml-14.3mm,decorative-6ml|14.3mm|Glass Bottle|tola,Decorative,Tola,6,14.3mm,Glass Bottle,glass-14.3mm,glass shares components by neck finish,Clear,1,0,,48.0,22.0,22.0,,,,,GB-DEC-CLR-6ML-T,GB6TPlGl,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/decorative-6ml-clear-14-3mm/GB6TPlGl/4c679db72f962ba60fe297c7d23ed858875ab23d7fd62740e662237371ed56fc.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
circle-30ml-15-415,circle-30ml|15-415|Glass Bottle,Circle,,30,15-415,Glass Bottle,glass-15-415,glass shares components by neck finish,Clear,7,0,Perfume Spray Pump,74.0,60.0,60.0,74.0,60.0,high,live bestbottles.com,GB-CIR-BLK-30ML-SPR-BLK,GBCrcl30SpryBlk,7,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/circle-30ml-clear-15-415/GBCrcl30SpryBlk/67c2d2055fc2a775368e11a327d9e7dc3fb575b3a77f0b1579491e0b33c55235.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
elegant-30ml-15-415,elegant-30ml|15-415|Glass Bottle,Elegant,,30,15-415,Glass Bottle,glass-15-415,glass shares components by neck finish,Clear; Frosted,14,0,Perfume Spray Pump,75.0,44.0,44.0,75.0,44.0,high,live bestbottles.com,GB-ELG-BLK-30ML-SPR-BLK,GBElg30SpryBlk,13,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/elegant-30ml-clear-15-415/GBElg30SpryShGl/f39cd2b6358b42433b974b9407e5cd8d3442ebf8b70445d80dbc7c2c4183fe2b.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
cylinder-28ml-16mm,cylinder-28ml|16mm|Glass Bottle,Cylinder,,28,16mm,Glass Bottle,glass-16mm,glass shares components by neck finish,Clear,4,0,Metal Roller Ball; Plastic Roller Ball,81.0,31.0,31.0,81.0,31.0,high,live bestbottles.com,GB-CYL-CLR-28ML-MRL-01,GBMtlRoll28Blk,4,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-28ml-clear-16mm/GBMtlRoll28Wht/1965ae0e7295e119219e6eff890d8f88a98cb5072d00fed3f2fa57bef96afac9.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cylinder-50ml-16mm,cylinder-50ml|16mm|Glass Bottle,Cylinder,,50,16mm,Glass Bottle,glass-16mm,glass shares components by neck finish,Clear,4,0,Metal Roller Ball; Plastic Roller Ball,98.0,37.0,37.0,98.0,37.0,high,live bestbottles.com,GB-CYL-BLK-50ML-MRL-BLK,GBCyl50MtlRollBlk,4,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-50ml-clear-16mm/GBCyl50MtlRollWht/88f01d70436ed7cf6014ff9029974d1861445bcde999caaf9e8f09077518c4fc.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cylinder-9ml-17-415,cylinder-9ml|17-415|Glass Bottle,Cylinder,,9,17-415,Glass Bottle,glass-17-415,glass shares components by neck finish,Amber; Clear; Cobalt Blue; Frosted; Swirl,145,0,Fine Mist Sprayer; Lotion Pump; Metal Roller Ball; Plastic Roller Ball,70.0,21.0,20.0,70.0,20.0,verified,live bestbottles.com GBCyl9RollMattSl,GB-CYL-AMB-9ML-MRL-BKDT,GBCylAmb9MtlRollBlkDot,145,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-9ml-clear-17-415/GBCyl9SpryBlk/e0ca967ebb484974fbdbbd8bac392b58fb43868bb60c90b903ce25f6cfaf4524.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
swirl-cylinder-9ml-17-415,cylinder-9ml|17-415|Roll-On Bottle|swirl,Cylinder,Swirl,9,17-415,Roll-On Bottle,roll-on-bottle,assumed-by-category (not yet ruled),,0,2,,,,,70.0,20.0,verified,live bestbottles.com GBCyl9RollMattSl,GBCylSwrl9MtlRollWht,GBCylSwrl9MtlRollWht__RETIRED__GBCylSwrl9MtlRollWht__kd7avtmhsf7k6hvfvkx8p5mbrh85c01x,0,,retired,thread,,convex:products (dev) 2026-09-24,low
pillar-9ml-17-415,pillar-9ml|17-415|Glass Bottle,Pillar,Pillar,9,17-415,Glass Bottle,glass-17-415,glass shares components by neck finish,Clear,1,0,Fine Mist Sprayer,57.0,21.0,21.0,,22.0,none,convex export (no live data),GB-PIL-CLR-9ML-SPR-MBLK,GBPillar9SpryBlkMatt,0,,current,thread,,convex:products (dev) 2026-09-24,high
marble-decorative-5ml-17.52mm,decorative-5ml|17.52mm|Glass Bottle|marble,Decorative,Marble,5,17.52mm,Glass Bottle,glass-17.52mm,glass shares components by neck finish,Clear,1,0,,66.0,26.0,26.0,,,,,GB-DEC-CLR-5ML-T,GBMtlMrblSmall,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/decorative-5ml-clear-17-52mm/GBMtlMrblSmall/5103ee22a68ddcf7865bb189608f1cd65a9e6f183dc6869b202cc76d3c31772c.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
