graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-CIR-CLR-50ML-DRP-CPR,GBCrcl50DrpCu,Circle,"Circle design 50 ml, 1.7oz  clear glass bottle  with white dropper with shiny copper collar cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizer, and beard oils.Circle design is a famiily of bottles availab",Clear,50 ml (1.69 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-CLR-50ML-DRP-CPR_1779525158779_6astss.png,
GB-CYL-FRS-9ML-T-13,GBTallCylFrst9RollCuMatt,Cylinder,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with plastic roller ball plug and matte copper cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price ea",Frosted,9 ml (0.3 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-CYL-FRS-9ML-T-13__GBTallCylFrst9RollCuMatt__pdp-main__v001.png,
GB-RYL-CLR-13ML-MRL-SBLK,GBRoyal13MtlRollBlkSh,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with metal roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price eac",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-MRL-SBLK__GBRoyal13MtlRollBlkSh__pdp-main__v001.png,
GB-ELG-FRS-15ML-SPR-BLK-02,GBElgFrst15SpryBlkSh,Elegant,Elegant 15 ml (0.51 oz) Frosted Glass Bottle with Sprayer Black Cap,Frosted,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-FRS-15ML-SPR-BLK-02__GBElgFrst15SpryBlkSh__pdp-main__v001.png,
GB-CIR-CLR-50ML-ASP-01,GBCrcl50AnSpTslMtSl,Circle,"Circle design 50 ml, 1.7oz  clear glass bottle  with Silver vintage style bulb sprayer with tasseland matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",Clear,50 ml (1.69 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-CLR-50ML-ASP-01_1779525269780_uz6cad.png,
BB-CREAMJARAMB5MLSLCAP,CreamJarAmb5mlSlcap,Cream Jar,"Cream glass jar style 5 ml amber bottle with silver cap . For use with body butters, creams, and thick lotions. Small trial or sample size. Great for promotions. Price each",,5 ml (0.17 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/BB-CREAMJARAMB5MLSLCAP__CreamJarAmb5mlSlcap__pdp-main__v001.png,
GB-CYL-FRS-9ML-T-12,GBTallCylFrst9RollBlkSh,Cylinder,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with plastic roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price eac",Frosted,9 ml (0.3 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-CYL-FRS-9ML-T-12__GBTallCylFrst9RollBlkSh__pdp-main__v001.png,
GB-RYL-CLR-13ML-MRL-MCPR,GBRoyal13MtlRollCuMatt,Royal,"Royal design 13ml, 1/2oz Clear glass bottle with metal roller ball plug and matte copper cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price ea",Clear,13 ml (0.44 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-RYL-CLR-13ML-MRL-MCPR__GBRoyal13MtlRollCuMatt__pdp-main__v001.png,
GB-ELG-FRS-15ML-SPR,GBElgFrst15SpryBluMatt,Elegant,Elegant 15 ml (0.51 oz) Frosted Glass Bottle with Sprayer,Frosted,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-FRS-15ML-SPR__GBElgFrst15SpryBluMatt__pdp-main__v001.png,
GB-CIR-CLR-50ML-AST-GLD,GBCrcl50AnSpTslGl,Circle,"Circle design 50 ml, 1.7oz  clear glass bottle  with Gold vintage style bulb sprayer with tasseland shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the",Clear,50 ml (1.69 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-CLR-50ML-AST-GLD_1779525306124_c3fkyt.png,
