graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-ELG-CLR-100ML-RDC-WHT,GBElg100RdcrWht,Elegant,"Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and white cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml and 100ml. Pric",Clear,100 ml (3.38 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780315005748_k2dwmk.png?v=1780901295,
GB-BSR-AMB-30ML-RON-MBLK,GBBstnAmb1ozRollonMattBlk,Boston Round,"Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and matte black cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651442176_83bdfn.png?v=1779661054,
GB-BSR-CBL-30ML-WHT-T-01,GBBstnBlu1ozWhtDropper,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle with white dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655493006_vrkatt.png?v=1779660519,
GB-DMD-CLR-60ML-ASP-WHT,GBDmnd2ozAnSpWht,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530098592_qd2r9a.png?v=1779530283,
GB-ELG-CLR-100ML-RDC-BRLT,GBElg100RdcrBrwnLthr,Elegant,"Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and brown faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml an",Clear,100 ml (3.38 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780315062729_ztt022.png?v=1780901291,
GB-BSR-AMB-30ML-RON-MSLV,GBBstnAmb1ozRollonMattSl,Boston Round,"Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651493516_xcrrz1.png?v=1779661050,
GB-BSR-CBL-30ML-WHT-T-02,GBBstnBlu1ozWhtDropperShnGlTrim,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle and white dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655537700_t6rxdq.png?v=1779660515,
GB-DMD-CLR-60ML-AST-GLD,GBDmnd2ozAnSpTslGl,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with Gold vintage style bulb sprayer with tassel with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530219413_at0vxc_2b35f880-c989-4fbc-8c56-fe6ff463a55d.png?v=1779531051,
GB-BSR-AMB-30ML-RON-SSLV,GBBstnAmb1ozRollonShnSl,Boston Round,"Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651553190_028ynq.png?v=1779661046,
GB-BSR-CBL-30ML-WHT-T-03,GBBstnBlu1ozWhtDropperShnSlTrim,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle and white dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655598428_xmil8u.png?v=1779660511,
