bottle,family,capacityMl,neck,glass,variant,glassMm,diameterMm,skus,tag,glassPct,glassPx,governingSku,check
11,Atomizer,10,17mm,Standard,,82.0,23.0,11,S80,54.5,935,GBAtom10Gl,
41,Cylinder,25,18-415,Standard,,83.0,32.0,45,S80,55.1,946,LBCyl25LtnCu,Some SKUs blank: 30 SKUs on this glass have no height recorded
87,Round,128,18-415,Frosted,,83.0,69.0,46,S80,55.1,946,GBRndFrst128AnSpBlk,Heights disagree: most common height used; fix the SKUs listed
88,Round,128,18-415,Standard,,83.0,69.0,46,S80,55.1,946,GBRnd128AnSpBlk,Heights disagree: most common height used; fix the SKUs listed
67,Elegant,60,18-415,Frosted,,86.0,54.0,47,S90,56.7,973,GBElgFrst60AnSpBlk,Heights disagree: most common height used; fix the SKUs listed
68,Elegant,60,18-415,Standard,,86.0,54.0,47,S90,56.7,973,GBElg60AnSpBlk,Heights disagree: most common height used; fix the SKUs listed
18,Circle,50,18-400,Frosted,,87.0,72.0,1,S90,57.2,982,GBCrclFrst50RdcrIvyLthr,
19,Circle,50,18-415,Frosted,,87.0,72.0,44,S90,57.2,982,GBCrclFrst50AnSpBlk,
20,Circle,50,18-415,Standard,,87.0,72.0,46,S90,57.2,982,GBCrcl50AnSpBlk,
96,Slim,30,18-415,Standard,,87.0,30.0,37,S90,57.2,982,GBSlm30AnSpBlk,
58,Diamond,60,18-415,Standard,,88.0,39.0,43,S90,57.7,990,GBDmnd2ozAnSpBlk,
71,Empire,50,18-415,Standard,,88.0,37.0,47,S90,57.7,990,GBEmp50AnSpBlk,
60,Diva,46,18-415,Frosted,,89.0,49.0,44,S90,58.2,999,GBDiva46DrpSl,Heights disagree: most common height used; fix the SKUs listed
61,Diva,46,18-415,Standard,,89.0,49.0,55,S90,58.2,999,GBDiva46AnSpBlk,
9,Atomizer,5,10mm,Standard,,92.0,15.0,3,S90,59.8,1026,GBAtom5SlimGl,
80,Plastic Bottle,10,,Standard,,93.8,23.7,1,S90,60.6,1040,PB10SpryNat,
1,Aluminum Bottle,65,20-410,Standard,,94.0,36.0,2,S90,60.7,1042,Alu65mlLotionPumpBlack,
15,Boston Round,60,20-400,Standard,,94.0,39.0,55,S90,60.7,1042,GBBstn2ozBlkCapSht,
44,Cylinder,50,16mm,Standard,,98.0,37.0,4,S100,62.6,1074,GBCyl50MtlRollBlk,
93,Sleek,30,18-415,Standard,,98.0,28.0,38,S100,62.6,1074,GBSlk30AnSpBlk,
84,Rectangle,10,13-415,Standard,Tall,101.0,17.0,36,S100,63.8,1095,GBTallRect10BlkSht,
21,Circle,100,18-415,Frosted,,105.0,89.0,43,S110,65.2,1119,GBCrclFrst100AnSpBlk,
22,Circle,100,18-415,Standard,,105.0,89.0,43,S110,65.2,1119,GBCrcl100AnSpBlk,
36,Cylinder,9,13-415,Frosted,Tall,106.0,18.0,36,S110,65.5,1124,GBTallCylFrst9BlkSht,
37,Cylinder,9,13-415,Standard,Tall,106.0,18.0,36,S110,65.5,1124,GBTallCyl9BlkSht,
72,Empire,100,18-415,Standard,,107.0,46.0,44,S110,65.8,1129,GBEmp100AnSpBlk,
69,Elegant,100,18-415,Frosted,,109.0,61.0,43,S110,66.3,1138,GBElgFrst100AnSpBlk,
70,Elegant,100,18-415,Standard,,109.0,61.0,44,S110,66.3,1138,GBElg100AnSpBlk,
62,Diva,100,18-415,Standard,,113.0,64.0,43,S110,67.2,1153,GBDiva100AnSpBlk,
74,Grace,55,18-415,Standard,,113.0,52.0,43,S110,67.2,1153,GBGrce55AnSpBlk,
3,Aluminum Bottle,120,20-410,Standard,,114.0,45.0,2,S110,67.4,1157,Alu120mlLotionPumpBlack,
47,Cylinder,114,,Standard,,116.0,41.0,1,S120,67.8,1163,PbClear4ozFlpWh,
45,Cylinder,50,18-415,Standard,,117.0,32.0,43,S120,68.0,1167,GBCyl50AnSpBlk,
75,Lotion Bottle,3,snap,Standard,,118.0,33.0,1,S120,68.2,1170,LB3mlClear,"Check height: a 33 x 118 mm glass holds about 61 ml, not 3 ml"
76,Lotion Bottle,30,,Standard,,118.0,33.0,2,S120,68.2,1170,LB1ozGl,
77,Lotion Bottle,30,18mm,Standard,,118.0,33.0,1,S120,68.2,1170,LBMetalSilver1oz,
97,Slim,50,18-415,Standard,,121.0,31.0,43,S120,68.8,1181,GBSlm50AnSpBlk,
2,Aluminum Bottle,100,20-410,Standard,,127.8,50.0,1,S130,69.9,1199,Alu100mlSprayBlack,
4,Aluminum Bottle,250,20-410,Standard,,127.8,60.0,1,S130,69.9,1199,Alu250mlSprayBlack,
94,Sleek,50,18-415,Standard,,139.0,28.0,44,S140,71.7,1230,GBSlk50AnSpBlk,
95,Sleek,100,18-415,Standard,,149.0,36.0,44,S150,73.2,1256,GBSlk100AnSpBlk,
46,Cylinder,100,18-415,Standard,,154.0,35.0,43,S150,74.0,1270,GBCyl100AnSpBlk,
98,Slim,100,18-415,Standard,,154.0,37.0,43,S150,74.0,1270,GBSlm100AnSpBlk,
48,Cylinder,227,,Standard,,156.0,51.0,1,S160,74.3,1275,PbClear8ozFlpWh,
5,Aluminum Bottle,500,20-410,Standard,,178.0,74.0,1,S180,77.6,1332,Alu500,
49,Cylinder,454,,Standard,,195.0,62.0,1,S200,80.0,1373,PbNat16ozFlpWh,
