id,grace_sku,website_sku,category,family,capacity,neck_thread_size,item_name,item_description,image_url,price_1,price_10,price_12,in_stock,product_url,compatible_components_count,color,canonical_slug,colorSource,csvLastUpdatedAt,convexSyncedAt
BB-GB-100-0377,LB-SLK-CLR-100ML-LPM-CPR,LBSlk100LtnCu,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with matte copper lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles av","Sleek design 100 ml, 3 1/2oz clear glass bottle with matte copper lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles av",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnCu.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-matte-copper-lotion-pump-and-cap,45.0,clear,sleek-100ml-lotionpump,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0378,LB-SLK-CLR-100ML-LPM-MGLD,LBSlk100LtnMtGl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles avai","Sleek design 100 ml, 3 1/2oz clear glass bottle with matte gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles avai",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnMtGl.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-matte-gold-lotion-pump-and-cap,45.0,clear,sleek-100ml-lotionpump,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0379,LB-SLK-CLR-100ML-LPM-MSLV,LBSlk100LtnMtSl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with matte silver lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles av","Sleek design 100 ml, 3 1/2oz clear glass bottle with matte silver lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles av",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnMtSl.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-matte-silver-lotion-pump-and-cap,45.0,clear,sleek-100ml-lotionpump,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0380,LB-SLK-CLR-100ML-LPM-SBLK,LBSlk100LtnShnBlk,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny black lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles ava","Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny black lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles ava",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnShnBlk.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-shiny-black-lotion-pump-and-cap,45.0,black,sleek-100ml-black-lotionpump,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0381,LB-SLK-CLR-100ML-LPM-SGLD,LBSlk100LtnShnGl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles avai","Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles avai",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnShnGl.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-shiny-gold-lotion-pump-and-cap,45.0,clear,sleek-100ml-lotionpump,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0382,LB-SLK-CLR-100ML-LPM-SSLV,LBSlk100LtnShnSl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny silver lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles av","Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny silver lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek design bottle is a family of bottles av",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnShnSl.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-shiny-silver-lotion-pump-and-cap,45.0,clear,sleek-100ml-lotionpump,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0376,LB-SLK-CLR-100ML-LPM-COCP,LBSlk100LtnClOvrCap,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek desi","Sleek design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Sleek desi",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100LtnClOvrCap.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,45.0,clear,sleek-100ml,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-030-0102,GB-SLK-CLR-30ML-ASP-BLK,GBSlk30AnSpBlk,Glass Bottle,Sleek,30 ml (1.01 oz),18-415,"Sleek design 30 ml, 1oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of","Sleek design 30 ml, 1oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk30AnSpBlk.gif,5.4,,5.13,True,https://www.bestbottles.com/product/sleek-design-30-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap,45.0,black,sleek-30ml-black-antiquespray,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-030-0103,GB-SLK-CLR-30ML-ASP-GLD,GBSlk30AnSpGl,Glass Bottle,Sleek,30 ml (1.01 oz),18-415,"Sleek design 30 ml, 1oz  clear glass bottle  with gold vintage style sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of your pr","Sleek design 30 ml, 1oz  clear glass bottle  with gold vintage style sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of your pr",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk30AnSpGl.gif,5.4,,5.13,True,https://www.bestbottles.com/product/sleek-design-30-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap,45.0,clear,sleek-30ml-antiquespray,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-000-0016,GB-SLK-CLR-30ML-ASP-IVGD,GBSlk30AnSpIvyGl,Glass Bottle,Sleek,30 ml (1.01 oz),18-415,"Sleek design 30 ml, 1oz  clear glass bottle  with ivory vintage style bulb sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of y","Sleek design 30 ml, 1oz  clear glass bottle  with ivory vintage style bulb sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of y",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk30AnSpIvyGl.gif,5.4,,5.13,True,https://www.bestbottles.com/product/sleek-design-30-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap,45.0,clear,sleek-30ml-antiquespray,text-mined,2026-06-24T22:18:29.034Z,
