grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
CP18-415MtSl,18-415,0.0,,19.0,21.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_matte_silver_18_415.html
CP18-415MtSlTall,18-415,0.0,,26.0,21.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_matte_silver_tall_18_415.html
CP18-415LPnkLthr,18-415,0.0,,30.0,25.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_pink_leather_Color_18_415.html
CP18-415ShnBlkTall,18-415,0.0,,26.0,21.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_shiny_black_tall_18_415.html
CP18-415ShnGl,18-415,0.0,,19.0,21.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_shiny_gold_Color_18_415.html
CP18-415ShnSl,18-415,0.0,,19.0,21.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_shiny_silver_Color_18_415.html
CP18-415Wh,18-415,0.0,,19.0,21.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_white_Color_18_415.html
CP8-425ShortWhite,8-425,0.0,,9.0,12.0,,,https_www_bestbottles_com_product_Caps_short_lid_top_White_Color_8_425.html
CP8-425ShortBlack,8-425,0.0,,9.0,12.0,,,https_www_bestbottles_com_product_Caps_short_lid_top_black_Color_8_425.html
CP8-425TallBlack,8-425,0.0,,16.0,11.0,,,https_www_bestbottles_com_product_Caps_tall_lid_top_black_Color_8_425.html
CP8-425TallShnGl,8-425,0.0,,16.0,11.0,,,https_www_bestbottles_com_product_Caps_tall_lid_top_shiny_gold_Color_8_425.html
CP8-425TallShnSl,8-425,0.0,,16.0,11.0,,,https_www_bestbottles_com_product_Caps_tall_lid_top_shiny_silver_Color_8_425.html
GBEternalFlameClear,,35.0,44.0,81.0,,63.0,,https_www_bestbottles_com_product_Clear_glass_perfume_Bottle_container_eternal_flame_glass_stopper.html
CJWhitePlsSlFr2oz,,63.0,,53.0,60.0,,,https_www_bestbottles_com_product_Cream_butter_balm_jar_container_Plastic_Frosted_white_silver_lid_2oz.html
CJFrstdPlsBlkPls2oz,,60.0,51.0,57.0,59.0,,,https_www_bestbottles_com_product_Cream_jar_Plastic_Frosted_Black_cap_2oz.html
Alu120mlLotionPumpBlack,20-410,120.0,114.0,147.0,45.0,,,https_www_bestbottles_com_product_Cylinder_shaped_brushed_aluminum_120ml_bottle_black_lotion_pump.html
Alu120mlLotionPumpWhite,20-410,120.0,114.0,147.0,45.0,,,https_www_bestbottles_com_product_Cylinder_shaped_brushed_aluminum_120ml_bottle_white_lotion_pump.html
Alu65mlLotionPumpBlack,20-410,65.0,94.0,127.0,36.0,,,https_www_bestbottles_com_product_Cylinder_shaped_brushed_aluminum_65ml_bottle_black_lotion_pump.html
Alu65mlLotionPumpWhite,20-410,65.0,94.0,127.0,36.0,,,https_www_bestbottles_com_product_Cylinder_shaped_brushed_aluminum_65ml_bottle_white_lotion_pump.html
Alu100mlSprayBlack,20-410,100.0,,150.0,50.0,,,https_www_bestbottles_com_product_Cylinder_shaped_matte_aluminum_100ml_bottle_black_sprayer.html
