websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBCyl5BlkShSht,GB-CYL-CLR-5ML-SBLK-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Shiny Black,,,False
GBCyl5BlkSht,GB-CYL-CLR-5ML-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Ribbed Black,,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-black-cap,False
GBCyl5CuSht,GB-CYL-CLR-5ML-MCPR-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Matte Copper,,,False
GBCyl5Gl,GB-CYL-CLR-5ML-GLD-T,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Regular Shiny Gold,,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-gold-cap,False
GBCyl5GlMattSht,GB-CYL-CLR-5ML-MGLD-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Matte Gold,,,False
GBCyl5GlSht,GB-CYL-CLR-5ML-SGLD-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Shiny Gold,,,False
GBCyl5MtlRollBlkDot,GB-CYL-CLR-5ML-MRL-BKDT,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Black with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBCyl5MtlRollBlkSh,GB-CYL-CLR-5ML-MRL-SBLK,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap,False
GBCyl5MtlRollCuMatt,GB-CYL-CLR-5ML-MRL-MCPR,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Copper,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap,False
GBCyl5MtlRollGlMatt,GB-CYL-CLR-5ML-MRL-MGLD,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap,False
GBCyl5MtlRollGlSh,GB-CYL-CLR-5ML-MRL-SGLD,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-shiny-gold-cap,False
GBCyl5MtlRollPinkDot,GB-CYL-CLR-5ML-MRL-PKDT,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Pink with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots,False
GBCyl5MtlRollSlDot,GB-CYL-CLR-5ML-MRL-SLDT,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Silver with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots,False
GBCyl5MtlRollSlMatt,GB-CYL-CLR-5ML-MRL-MSLV,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-metal-roller-ball-plug-matte-silver-cap,False
