family,product_group_slug,sku,website_sku,product_media_count,issue,recommended_next_action,convex_image_url,product_media_sample
Sprayer,fine-mist-sprayer-17-415,CMP-SPR-SLV-17-415,Spry17-415MattSl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415MattSl.gif,
Sprayer,fine-mist-sprayer-17-415,CMP-SPR-SSLV-17-415,Spry17-415ShnSl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415ShnSl.gif,
Sprayer,fine-mist-sprayer-17-415,CMP-SPR-RED-17-415,Spry17-415Red,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Red.gif,
Sprayer,fine-mist-sprayer-17-415,CMP-SPR-CLR-17-415,Spry17-415Tur,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Tur.gif,
Royal,royal-13ml-clear-13-415,GB-VIA-WHT-13ML-WHT-S,GBRoyal13WhtSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBRoyal13WhtSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-13ML-GLD-T__GBRoyal13Gl__pdp-main__v001.png?v=1781251870 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-VIA-CLR-13ML-SLV-T__GBRoyal13Sl__pdp-main__v001.png?v=1781251870
Circle,circle-15ml-clear-13-415,GB-CIR-CLR-15ML-GLD-T,GBCrcl15Gl,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15Gl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-CIR-WHT-15ML-WHT-S_1779596586057_5oodl9.png?v=1781251893 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-CIR-CLR-15ML-BLK-S_1779596587350_gc98wk.png?v=1781251893
Sprayer,vintage-bulb-sprayer-18-415,CMP-CAP-PNK-18-415,CP18-415AnSpPnk,6,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Pnk.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-LVN-18-415-01__AnSp18-415Lvn__pdp-main__v001.png?v=1781251882 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-MSLV-18-415-01__AnSp18-415MtSl__pdp-main__v001.png?v=1781251882 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVSL-18-415-01__AnSp18-415IvySl__pdp-main__v001.png?v=1781251881 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVGD-18-415-01__AnSp18-415IvyGl__pdp-main__v001.png?v=1781251881 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-WHT-18-415-01__AnSp18-415Wht__pdp-main__v001.png?v=1781251881
Sleek,sleek-50ml-clear-18-415-perfumespray,GB-SLK-CLR-50ML-SPR-CPR,GBSlk50SpryCu,3,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50SpryCu.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-50ML-SPR-SBLK.png?v=1781251815 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-50ML-SPR-SGLD.png?v=1781251816 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-50ML-SPR-MSLV.png?v=1781251815
Circle,circle-15ml-clear-13-415,GB-CIR-CLR-15ML-SLV-T,GBCrcl15Sl,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15Sl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-CIR-WHT-15ML-WHT-S_1779596586057_5oodl9.png?v=1781251893 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-CIR-CLR-15ML-BLK-S_1779596587350_gc98wk.png?v=1781251893
Rectangle,tall-rectangle-10ml-clear-13-415,GB-RCT-CLR-10ML-BLK-S-02,GBTallRect10BlkSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBTallRect10BlkSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-RCT-CLR-10ML-GLD-T-02__GBTallRect10Gl__pdp-main__v001.png?v=1781251847 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-RCT-CLR-10ML-SLV-T-02__GBTallRect10Sl__pdp-main__v001.png?v=1781251847
Slim,slim-50ml-clear-18-415-perfumespray,GB-SLM-CLR-50ML-SPR-CPR,GBSlm50SpryCu,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlm50SpryCu.gif,
Sprayer,vintage-bulb-sprayer-18-415,CMP-SPR-GLD-18-415-02,AnSp18-415Gl,6,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/AnSp18-415Gl.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-LVN-18-415-01__AnSp18-415Lvn__pdp-main__v001.png?v=1781251882 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-MSLV-18-415-01__AnSp18-415MtSl__pdp-main__v001.png?v=1781251882 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVSL-18-415-01__AnSp18-415IvySl__pdp-main__v001.png?v=1781251881 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-IVGD-18-415-01__AnSp18-415IvyGl__pdp-main__v001.png?v=1781251881 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/CMP-SPR-WHT-18-415-01__AnSp18-415Wht__pdp-main__v001.png?v=1781251881
