graceSku,websiteSku,productId,family,capacityMl,heightWithoutCap,heightWithCap,diameter,widthMm,depthMm,bottleWeightG,verified,measurementSource,importSource
GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,BB-GB-005-0010,Atomizer,5,92 ±1 mm,104 ±2 mm,15 ±0.5 mm,15,15,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-ASP-BLK,GBSlm100AnSpBlk,BB-GB-100-0288,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-GLD,GBSlm100AnSpGl,BB-GB-100-0289,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-IVGD,GBSlm100AnSpIvyGl,BB-GB-100-0290,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-IVSL,GBSlm100AnSpIvySl,BB-GB-100-0291,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-LVN,GBSlm100AnSpLvn,BB-GB-100-0292,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-MSLV,GBSlm100AnSpMtSl,BB-GB-100-0293,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-PNK,GBSlm100AnSpPnk,BB-GB-100-0294,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-RED,GBSlm100AnSpRed,BB-GB-100-0295,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-ASP-WHT,GBSlm100AnSpWht,BB-GB-100-0305,Slim,100,154 ±2 mm,197 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-BLK,GBSlm100AnSpTslBlk,BB-GB-100-0296,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-GLD,GBSlm100AnSpTslGl,BB-GB-100-0297,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-IVGD,GBSlm100AnSpTslIvyGl,BB-GB-100-0298,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-IVSL,GBSlm100AnSpTslIvySl,BB-GB-100-0299,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-LVN,GBSlm100AnSpTslLvn,BB-GB-100-0300,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-AST-MSLV,GBSlm100AnSpTslMtSl,BB-GB-100-0301,Slim,100,154 ±2 mm,175 ±2 mm,37 ±0.5 mm,37,37,95.83,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
