graceSku,websiteSku,productId,productGroupId,productGroupSlug,family,category,bottleCollection,shape,color,capacityMl,capacityOz,material,glassFinish,axisSemantics,heightWithoutCap_raw,heightWithCap_raw,diameter_raw,capHeight_raw,neckThreadSize,convexWidthMm_live,convexDepthMm_live,widthDepthIndependent,canon_bodyHeightMm,canon_bodyHeight_source,canon_bodyHeight_confidence,canon_widthAxisMm,canon_widthAxis_source,canon_widthAxis_confidence,canon_secondAxisMm,canon_secondAxis_status,canon_heightWithCapMm,conflict_flags,applicator,capStyle,capColor,trimColor,ballMaterial,assemblyType,bottleWeightG,dataGrade,verified,importSource,stockStatus,websiteTruthStatus,readinessStatus,readinessIssues,measurementSource,site_status,site_heightMm,site_heightWithCapMm,site_diameterMm,site_widthMm,site_depthMm,site_dimsRaw,site_url,site_measuredRenderUrl,site_depthviewRenderUrl,site_agreement,imageUrl,productUrl,itemName
GB-APT-BLU-30ML-BLU-T,GB1ozApthBlue,BB-GB-030-0002,kh758q30dj5dbqa4cqsyhkhaz983k8ex,apothecary-30ml-cobalt-blue-Ground-glassapplicator,Apothecary,Glass Bottle,Apothecary,,Cobalt Blue,30,1.01,Glass,Cobalt,round,58,98 ±1 mm,37 ±0.5 mm,,Ground,37.0,37.0,no(copy-of-diameter),58.0,catalog,medium,37.0,catalog+site-confirmed,high,37.0,equal-to-diameter(circular),98.0,,Glass Stopper,Tall,Blue,,,2-part,75.08,B — no applicator,false,grace_products_final_json,In Stock,ready,ready,,catalog,live,,98.0,37.0,,,Item Capacity: 30 ml (1.01 oz) | Item Height with Cap: 98 ±1 mm | Item Diameter: 37 ±0.5 mm | Neck Thread Size: Ground glass neck with glass stopper,https://www.bestbottles.com/product/Apothecary-style-1-ounce-blue-glass-bottle-blue-glass-stopper,,,W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApthBlue.gif,https://www.bestbottles.com/product/Apothecary-style-1-ounce-blue-glass-bottle-blue-glass-stopper,"Apothecary style 30ml blue glass bottle with blue glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good fo"
GB-APT-GRN-30ML-GRN-T,GB1ozApthGreen,BB-GB-030-0003,kh7eay6sf6g6vkbxkc032vgntd83k6z1,apothecary-30ml-green-Ground-glassapplicator,Apothecary,Glass Bottle,Apothecary,,Green,30,1.01,Glass,Green,round,58,98 ±1 mm,37 ±0.5 mm,,Ground,37.0,37.0,no(copy-of-diameter),58.0,catalog,medium,37.0,catalog+site-confirmed,high,37.0,equal-to-diameter(circular),98.0,,Glass Stopper,Tall,Green,,,2-part,75.08,B — no applicator,false,grace_products_final_json,In Stock,ready,ready,,catalog,live,,98.0,37.0,,,Item Capacity: 30 ml (1.01 oz) | Item Height with Cap: 98 ±1 mm | Item Diameter: 37 ±0.5 mm | Neck Thread Size: Ground glass neck with glass stopper,https://www.bestbottles.com/product/Apothecary-style-1-ounce-green-glass-bottle-green-glass-stopper,,,W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GB1ozApthGreen.gif,https://www.bestbottles.com/product/Apothecary-style-1-ounce-green-glass-bottle-green-glass-stopper,"Apothecary style 30ml green glass bottle with green glass stopper. For use with perfume or fragrance oil, essential oil, aromatherapy. Good "
GB-DEC-CLR-118ML,GBPearClear4ozStpr,BB-GB-118-0001,kh7884mkyxnwzvk52rf1nptq5583kjf0,pear-118ml-clear-Ground-stopper,Apothecary,Glass Bottle,Apothecary,Pear,Clear,118,3.99,Glass,Clear,round,52.2,77.3,27.4,,Ground,27.4,27.4,no(copy-of-diameter),52.2,catalog,medium,27.4,catalog,medium,27.4,equal-to-diameter(circular),77.3,,,Stopper,Clear,,,complete-set,130,C — no applicator; no cap color; no thread,false,grace_products_final_json,In Stock,ready,ready,,catalog,live,,,,,,Item Capacity: 118 ml (3.99 oz) | Neck Thread Size: Ground glass neck with glass stopper,https://www.bestbottles.com/product/Apothecary-style-Clear-glass-cylindrical-4oz-glass-stopper,,,,https://www.bestbottles.com/images/store/enlarged_pics/GBPearClear4ozStpr.gif,https://www.bestbottles.com/product/Apothecary-style-Clear-glass-cylindrical-4oz-glass-stopper,Apothecary style 4oz Clear Pear Bottle with glass stopper. 118ml (3.99oz). Semi-automatic handmade bottle with proper fitting stopper. Not l
GB-CYL-BLK-5ML-ATM-BLK,GBAtom5Blk,,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Black,5,0.17,Metal shell + glass inner vial,Black,round,76 ±1 mm,81 ±1 mm,18 ±0.5 mm,,13-415,18.0,18.0,no(copy-of-diameter),76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Spray,Black,,,complete-set,25.62,A,false,manual_reconciliation,In Stock,truth_conflict,ready,,catalog,live,76.0,81.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 81 ±1 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Blk.gif,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle,"Black atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved a"
GB-CYL-BLK-5ML-ATM-BLK-01,GBAtom5Blk,BB-GB-005-0001,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,Standard,Black,5,0.1667,Metal shell + glass inner vial,Black,round,76 ±1 mm,81 ±1 mm,18 ±0.5 mm,,13mm,,,,76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Spray,Black,,,,25.62,A,false,aios_live_confirmed_reconciliation_20260508,In Stock,truth_conflict,needs-reference,missing_reference,catalog,live,76.0,81.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 81 ±1 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779588720462_tigzk8.png?v=1779603616,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle,Cylinder 5 ml (0.17 oz) Black Glass Bottle with Atomizer Black Cap
GB-CYL-BLK-5ML-ATM-BLK-02,GBAtom5BlkDot,BB-GB-005-0002,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Black,5,0.17,Metal shell + glass inner vial,Black,round,76 ±1 mm,81 ±1 mm,18 ±0.5 mm,,13-415,18.0,18.0,no(copy-of-diameter),76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Spray,Black,,,complete-set,25.62,A,false,aios_live_confirmed_field_patch_20260508,In Stock,alias_exception,ready,,catalog,live,76.0,81.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 81 ±1 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle-dots,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5BlkDot.gif,https://www.bestbottles.com/product/black-atomizer-design-5-ml-bottle-with-dots,Black atomizer design 5 ml bottle with dots.
GB-SLM-BLK-5ML-ATM-BLK-T,GBAtom5SlimBlk,BB-GB-005-0010,kh7ac2erp4qbkct38vgqg19nth87awfk,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Black,5,0.17,Metal shell + glass inner vial,Black,round,92 ±1 mm,104 ±2 mm,15 ±0.5 mm,,10mm,15.0,15.0,no(copy-of-diameter),92.0,catalog+site-confirmed,high,15.0,catalog+site-confirmed,high,15.0,equal-to-diameter(circular),104.0,,Atomizer,Tall,Black,,,complete-set,95.83,A,false,grace_products_final_json,In Stock,alias_exception,ready,,catalog,live,92.0,104.0,15.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 104 ±2 mm | Item Height without Cap: 92 ±1 mm | Item Diameter: 15 ±0.5 mm | Neck Thread Size: 10mm,https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlimBlk.gif,https://www.bestbottles.com/product/black-slim-atomizer-design-5-ml-bottle,"Black slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engra"
GB-CYL-CLR-5ML-ATM-GLD,GBAtom5Gl,BB-GB-005-0004,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Clear,5,0.17,Metal shell + glass inner vial,Clear,round,76 ±1 mm,81 ±1 mm,18 ±0.5 mm,,13-415,18.0,18.0,no(copy-of-diameter),76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Screw Cap,Gold,,,complete-set,25.62,A,false,grace_products_final_json,In Stock,alias_exception,ready,,catalog,live,76.0,81.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 81 ±1 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/gold-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Gl.gif,https://www.bestbottles.com/product/gold-atomizer-design-5-ml-bottle,"Gold atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved an"
GB-SLM-CLR-5ML-ATM-GLD-T,GBAtom5SlimGl,BB-GB-005-0011,kh7ac2erp4qbkct38vgqg19nth87awfk,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Clear,5,0.17,Metal shell + glass inner vial,Clear,round,92 ±1 mm,104 ±2 mm,15 ±0.5 mm,,10mm,15.0,15.0,no(copy-of-diameter),92.0,catalog+site-confirmed,high,15.0,catalog+site-confirmed,high,15.0,equal-to-diameter(circular),104.0,,Atomizer,Tall,Gold,,,complete-set,95.83,A,false,grace_products_final_json,In Stock,alias_exception,ready,,catalog,live,92.0,104.0,15.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 104 ±2 mm | Item Height without Cap: 92 ±1 mm | Item Diameter: 15 ±0.5 mm | Neck Thread Size: 10mm,https://www.bestbottles.com/product/gold-slim-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlimGl.gif,https://www.bestbottles.com/product/gold-slim-atomizer-design-5-ml-bottle,"Gold slim atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engrav"
GB-CYL-CLR-5ML-ATM-RED,GBAtom5Red,BB-GB-005-0006,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Clear,5,0.17,Metal shell + glass inner vial,Clear,round,76 ±1 mm,81 ±1 mm,18 ±0.5 mm,,13-415,18.0,18.0,no(copy-of-diameter),76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Spray,Red,,,complete-set,25.62,A,false,grace_products_final_json,In Stock,alias_exception,ready,,catalog,live,76.0,81.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 81 ±1 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/red-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Red.gif,https://www.bestbottles.com/product/red-atomizer-design-5-ml-bottle,"Red atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and"
GB-CYL-CLR-5ML-ATM-SLV-01,GBAtom5Sl,BB-GB-005-0007,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Clear,5,0.17,Metal shell + glass inner vial,Clear,round,76 ±1 mm,81 ±1 mm,18 ±0.5 mm,,13-415,18.0,18.0,no(copy-of-diameter),76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Spray,Silver,,,complete-set,25.62,A,false,grace_products_final_json,In Stock,alias_exception,ready,,catalog,live,76.0,81.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 81 ±1 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/silver-atomizer-design-5-ml-bottle,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5Sl.gif,https://www.bestbottles.com/product/silver-atomizer-design-5-ml-bottle,"Silver atomizer design 5 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved "
GB-CYL-CLR-5ML-ATM-SLV-02,GBAtom5SlDot,BB-GB-005-0008,kh72145wh6ae44by9aqgb8js5n83k4xp,atomizer-5ml,Atomizer,Metal Atomizer,Atomizer Collection,,Clear,5,0.17,Metal shell + glass inner vial,Clear,round,76 ±1 mm,104 ±2 mm,18 ±0.5 mm,,13-415,18.0,18.0,no(copy-of-diameter),76.0,catalog+site-confirmed,high,18.0,catalog+site-confirmed,high,18.0,equal-to-diameter(circular),81.0,,Atomizer,Spray,Silver,,,complete-set,25.62,A,false,grace_products_final_json,In Stock,alias_exception,ready,,catalog,live,76.0,104.0,18.0,,,Item Capacity: 5 ml (0.17 oz) | Item Height with Cap: 104 ±2 mm | Item Height without Cap: 76 ±1 mm | Item Diameter: 18 ±0.5 mm | Neck Thread Size: 13mm,https://www.bestbottles.com/product/silver-atomizer-design-5-ml-bottle-dots,,,H:agree;W:agree,https://www.bestbottles.com/images/store/enlarged_pics/GBAtom5SlDot.gif,https://www.bestbottles.com/product/silver-atomizer-design-5-ml-bottle-dots,"Silver atomizer and sprayer with dots, design 5 ml bottle with dots. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size"
