family,capacityMl,bodyHeightMm,widthAxisMm,depthAxisMm,axisSemantics,secondAxisStatus,variantCount,colors,applicators,productGroupSlugs,conflictFlagCounts,rawHeightValues,rawDiameterValues
Boston Round,30,78,33,33.0,round,equal-to-diameter(circular),52,Amber|Clear|Cobalt Blue,Dropper|Metal Roller Ball|Plastic Roller Ball,boston-round-30ml-amber-20-400|boston-round-30ml-amber-20-400-dropper|boston-round-30ml-amber-20-400-rollon|boston-round-30ml-clear-20-400-dropper|boston-round-30ml-clear-20-400-rollon|boston-round-30ml-cobalt-blue-20-400|boston-round-30ml-cobalt-blue-20-400-dropper|boston-round-30ml-cobalt-blue-20-400-rollon,site_depth_semantics_suspect(round-family)×52;d:dup_lineage_stale_value×1;h:dup_lineage_stale_value×1,78 ±1 mm×51|60 ±1 mm×1,33 ±0.5 mm×51|28 ±0.5 mm×1
Boston Round,60,94,39,39.0,round,equal-to-diameter(circular),54,Amber|Clear|Cobalt Blue,Dropper|Metal Roller Ball|Plastic Roller Ball,boston-round-60ml-amber-20-400|boston-round-60ml-amber-20-400-dropper|boston-round-60ml-amber-20-400-rollon|boston-round-60ml-clear-20-400|boston-round-60ml-clear-20-400-dropper|boston-round-60ml-clear-20-400-rollon|boston-round-60ml-cobalt-blue-20-400|boston-round-60ml-cobalt-blue-20-400-dropper|boston-round-60ml-cobalt-blue-20-400-rollon,site_depth_semantics_suspect(round-family)×54,94 ±1 mm×54,39 ±0.5 mm×54
Circle,15,60,50,17.0,flat,from-live-site(Item Depth),30,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,circle-15ml-clear-13-415|circle-15ml-clear-13-415-finemist|circle-15ml-clear-13-415-rollon,,60 ±1 mm×30,50 ±0.5 mm×30
Circle,30,74,60,20.0,flat,from-live-site(Item Depth),7,Clear,Perfume Spray Pump,circle-30ml-clear-15-415|circle-30ml-clear-15-415-perfumespray,convex_widthaxis_corrected_by_site(was=37.0)×7,74 ±1 mm×7,37 ±0.5 mm×7
Circle,50,87,72,23.0,flat,from-live-site(Item Depth),94,Clear|Frosted,Dropper|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,circle-50ml-clear-18-415-antiquespray|circle-50ml-clear-18-415-antiquespray-tassel|circle-50ml-clear-18-415-dropper|circle-50ml-clear-18-415-lotionpump|circle-50ml-clear-18-415-perfumespray|circle-50ml-clear-18-415-reducer|circle-50ml-frosted-18-400-reducer|circle-50ml-frosted-18-415-antiquespray|circle-50ml-frosted-18-415-dropper|circle-50ml-frosted-18-415-lotionpump|circle-50ml-frosted-18-415-perfumespray|circle-50ml-frosted-18-415-reducer,,87 ±1 mm×94,72 ±1 mm×94
Circle,100,105,89,29.0,flat,from-live-site(Item Depth),87,Clear|Frosted,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,circle-100ml-clear-18-415-antiquespray|circle-100ml-clear-18-415-antiquespray-tassel|circle-100ml-clear-18-415-lotionpump|circle-100ml-clear-18-415-perfumespray|circle-100ml-clear-18-415-reducer|circle-100ml-frosted-18-415-antiquespray|circle-100ml-frosted-18-415-antiquespray-tassel|circle-100ml-frosted-18-415-lotionpump|circle-100ml-frosted-18-415-perfumespray|circle-100ml-frosted-18-415-reducer,convex_widthaxis_corrected_by_site(was=78.0)×73;convex_widthaxis_corrected_by_site(was=35.0)×14;convex_height_corrected_by_site(was=100.0)×10;h:group_outlier_unresolved×5;h:dup_lineage_stale_value×1,105 ±2 mm×78|100 ±1 mm×9,78 ±1 mm×73|35 ±0.5 mm×14
Cream Jar,3,18,35,35.0,round,equal-to-diameter(circular),1,Cobalt Blue,,cream-jar-3ml-mixed,convex_height_corrected_by_site(was=40.0)×1;convex_widthaxis_corrected_by_site(was=25.0)×1,40 ±1 mm×1,25 ±0.5 mm×1
Cream Jar,3,22,33,33.0,round,equal-to-diameter(circular),1,Clear,,cream-jar-3ml-mixed,,22 ±0.5 mm×1,33 ±0.5 mm×1
Cream Jar,5,16,31,31.0,round,equal-to-diameter(circular),1,Clear,,cream-jar-5ml-mixed,,16 ±0.5 mm×1,31 ±0.5 mm×1
Cream Jar,5,24,31,31.0,round,equal-to-diameter(circular),3,Amber,,cream-jar-5ml-amber|cream-jar-5ml-mixed|lotion-pump-37mm,d:missing×1;h:missing×1;d:override_applied×1;h:override_applied×1,24 ±0.5 mm×2|None×1,31 ±0.5 mm×2|None×1
Cream Jar,15,26,55,55.0,round,equal-to-diameter(circular),1,Clear,,cream-jar-15ml-mixed,,26 ±0.5 mm×1,55 ±1 mm×1
Cream Jar,15,31,48,48.0,round,equal-to-diameter(circular),1,Clear,,cream-jar-15ml-mixed,,31 ±0.5 mm×1,48 ±0.5 mm×1
Cream Jar,20,34,55,55.0,round,equal-to-diameter(circular),1,White,,cream-jar-20ml-mixed,,33.9×1,55 ±1 mm×1
Cream Jar,30,35,52,52.0,round,equal-to-diameter(circular),4,Amber|Frosted,,cream-jar-30ml-mixed,,35 ±0.5 mm×4,52 ±1 mm×4
Cream Jar,40,42,56,56.0,round,equal-to-diameter(circular),4,Amber|Frosted,,cream-jar-40ml-mixed,,42 ±0.5 mm×4,56 ±1 mm×4
Cream Jar,60,51,59,59.0,round,equal-to-diameter(circular),1,Frosted,,cream-jar-60ml-mixed,,51 ±1 mm×1,59 ±1 mm×1
Cream Jar,63,51,59,59.0,round,equal-to-diameter(circular),1,White,,cream-jar-63ml-mixed,,51×1,59 ±1 mm×1
Cylinder,3,37,14,14.0,round,equal-to-diameter(circular),2,Clear,Fine Mist Sprayer,cylinder-3ml-clear-12mm-finemist,,37 ±0.5 mm×1|37×1,14 ±0.5 mm×2
Cylinder,4,49,14,14.0,round,equal-to-diameter(circular),2,Clear,Fine Mist Sprayer,cylinder-4ml-clear-12mm-finemist,,49 ±0.5 mm×2,14 ±0.5 mm×2
Cylinder,5,53,17,17.0,round,equal-to-diameter(circular),54,Clear|Cobalt Blue,Cap/Closure|Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,cylinder-5ml-clear-13-415|cylinder-5ml-clear-13-415-capclosure|cylinder-5ml-clear-13-415-finemist|cylinder-5ml-clear-13-415-rollon|cylinder-5ml-cobalt-blue-13-415|cylinder-5ml-cobalt-blue-13-415-finemist|cylinder-5ml-cobalt-blue-13-415-rollon|cylinder-5ml-white-13-415,,53 ±1 mm×54,17 ±0.5 mm×54
Cylinder,5,53,18,18.0,round,equal-to-diameter(circular),2,Cobalt Blue,Cap/Closure|N/A,cylinder-5ml-cobalt-blue-13-415,h:dup_lineage_stale_value×1;h:missing_filled_from_group×1,60 ±1 mm×1|None×1,18 ±0.5 mm×1|18.4×1
Cylinder,5,54,17,17.0,round,equal-to-diameter(circular),5,Clear,Fine Mist Sprayer,cylinder-5ml-clear-13-415-finemist,,54.2×5,17 ±0.5 mm×5
Cylinder,9,70,20,20.0,round,equal-to-diameter(circular),60,Amber|Clear|Cobalt Blue,Fine Mist Sprayer|Lotion Pump|Metal Roller Ball|Plastic Roller Ball,cylinder-9ml-amber-17-415-finemist|cylinder-9ml-amber-17-415-lotionpump|cylinder-9ml-amber-17-415-rollon|cylinder-9ml-clear-17-415-finemist|cylinder-9ml-clear-17-415-lotionpump|cylinder-9ml-clear-17-415-rollon|cylinder-9ml-cobalt-blue-17-415-finemist|cylinder-9ml-cobalt-blue-17-415-lotionpump|cylinder-9ml-cobalt-blue-17-415-rollon,,70 ±1 mm×60,20 ±0.5 mm×60
Cylinder,9,70,21,21.0,round,equal-to-diameter(circular),27,Amber|Clear|Cobalt Blue,Plastic Roller Ball,cylinder-9ml-amber-17-415-rollon|cylinder-9ml-clear-17-415-rollon|cylinder-9ml-cobalt-blue-17-415-rollon,h:group_outlier_unresolved×27;convex_height_corrected_by_site(was=63.0)×27,63 ±1 mm×27,21 ±0.5 mm×27
