family,capacityMl,bodyHeightMm,widthAxisMm,depthAxisMm,axisSemantics,secondAxisStatus,variantCount,colors,applicators,productGroupSlugs,conflictFlagCounts,rawHeightValues,rawDiameterValues
Rectangle,9,47,24,,flat,UNKNOWN — not recorded in any system,3,Clear,Glass Stopper,rectangle-9ml-clear-Ground-glassapplicator,convex_widthaxis_corrected_by_site(was=20.0)×3,47 ±0.5 mm×3,20 ±0.5 mm×3
Rectangle,10,50,29,19.0,flat,from-live-site(Item Depth),30,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,footed-rectangle-10ml-clear-13-415|footed-rectangle-10ml-clear-13-415-finemist|footed-rectangle-10ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=23.0)×30,50 ±0.5 mm×30,23 ±0.5 mm×30
Rectangle,10,101,17,17.0,flat,from-live-site(Item Depth),30,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,tall-rectangle-10ml-clear-13-415|tall-rectangle-10ml-clear-13-415-finemist|tall-rectangle-10ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=23.0)×30,101 ±2 mm×30,23 ±0.5 mm×30
Round,78,73,59,59.0,round,equal-to-diameter(circular),90,Clear|Frosted,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,round-78ml-clear-18-415-antiquespray|round-78ml-clear-18-415-antiquespray-tassel|round-78ml-clear-18-415-lotionpump|round-78ml-clear-18-415-perfumespray|round-78ml-clear-18-415-reducer|round-78ml-frosted-18-415-antiquespray|round-78ml-frosted-18-415-antiquespray-tassel|round-78ml-frosted-18-415-lotionpump|round-78ml-frosted-18-415-perfumespray|round-78ml-frosted-18-415-reducer,d:group_outlier_unresolved×2;h:group_outlier_unresolved×2;convex_height_corrected_by_site(was=100.0)×2;convex_widthaxis_corrected_by_site(was=75.0)×2,73 ±1 mm×88|100 ±1 mm×2,59 ±1 mm×88|75 ±0.5 mm×2
Round,128,83,69,69.0,round,equal-to-diameter(circular),93,Clear|Frosted,Dropper|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,round-128ml-clear-18-415-antiquespray|round-128ml-clear-18-415-antiquespray-tassel|round-128ml-clear-18-415-dropper|round-128ml-clear-18-415-lotionpump|round-128ml-clear-18-415-perfumespray|round-128ml-clear-18-415-reducer|round-128ml-frosted-18-415-antiquespray|round-128ml-frosted-18-415-dropper|round-128ml-frosted-18-415-lotionpump|round-128ml-frosted-18-415-perfumespray|round-128ml-frosted-18-415-reducer,d:group_outlier_unresolved×3;convex_widthaxis_corrected_by_site(was=85.0)×3;h:group_outlier_unresolved×2;convex_height_corrected_by_site(was=110.0)×2;hc:inch_conversion_artifact×1;convex_height_corrected_by_site(was=78.7)×1,83 ±1 mm×90|110 ±1 mm×2|78.7×1,69 ±1 mm×90|85 ±1 mm×3
Round,128,84,69,69.0,round,equal-to-diameter(circular),3,Clear|Frosted,Dropper,round-128ml-clear-18-415-dropper|round-128ml-frosted-18-415-dropper,,83.6×3,69 ±1 mm×3
Royal,13,56,44,43.7,round,equal-to-diameter(circular),26,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,royal-13ml-clear-13-415|royal-13ml-clear-13-415-finemist|royal-13ml-clear-13-415-rollon,d:group_outlier_unresolved×1,56 ±1 mm×26,43.7×26
Royal,13,56,17,16.8,round,equal-to-diameter(circular),3,Clear,,royal-13ml-clear-13-415,,56 ±1 mm×3,16.8×3
Royal,14,64,44,43.7,round,equal-to-diameter(circular),1,Clear,,royal-14ml-clear-11mm,,64 ±1 mm×1,43.7×1
Sleek,5,45,18,18.0,square,equal-to-width(square-section),1,Clear,,sleek-5ml-clear-13-415,d:group_outlier_unresolved×1,45 ±0.5 mm×1,18 ±0.5 mm×1
Sleek,5,45,17,17.0,square,equal-to-width(square-section),29,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,sleek-5ml-clear-13-415|sleek-5ml-clear-13-415-finemist|sleek-5ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=23.0)×29;h:group_outlier_unresolved×8;convex_height_corrected_by_site(was=48.0)×8,45 ±0.5 mm×21|48 ±1 mm×8,23 ±0.5 mm×29
Sleek,8,66,17,17.0,square,equal-to-width(square-section),30,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,sleek-8ml-clear-13-415|sleek-8ml-clear-13-415-finemist|sleek-8ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=23.0)×30;h:group_outlier_unresolved×8;convex_height_corrected_by_site(was=48.0)×8,66 ±1 mm×22|48 ±1 mm×8,23 ±0.5 mm×30
Sleek,30,98,28,28.0,square,equal-to-width(square-section),40,Clear,Dropper|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer,sleek-30ml-clear-18-415-antiquespray|sleek-30ml-clear-18-415-dropper|sleek-30ml-clear-18-415-lotionpump|sleek-30ml-clear-18-415-perfumespray|sleek-30ml-clear-18-415-reducer,convex_widthaxis_corrected_by_site(was=37.0)×27;convex_widthaxis_corrected_by_site(was=34.8)×5;d:group_outlier_unresolved×4,98 ±1 mm×35|98×5,37 ±0.5 mm×27|28 ±0.5 mm×8|34.8×5
Sleek,50,139,28,28.0,square,equal-to-width(square-section),46,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,sleek-50ml-clear-18-415-antiquespray|sleek-50ml-clear-18-415-antiquespray-tassel|sleek-50ml-clear-18-415-lotionpump|sleek-50ml-clear-18-415-perfumespray|sleek-50ml-clear-18-415-reducer,convex_widthaxis_corrected_by_site(was=72.0)×38,139 ±2 mm×46,72 ±1 mm×38|28 ±0.5 mm×8
Sleek,100,149,35,35.0,square,equal-to-width(square-section),8,Clear,Lotion Pump,sleek-100ml-clear-18-415-lotionpump,,149 ±2 mm×8,35 ±0.5 mm×8
Sleek,100,149,36,36.0,square,equal-to-width(square-section),38,Clear,Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,sleek-100ml-clear-18-415-antiquespray|sleek-100ml-clear-18-415-antiquespray-tassel|sleek-100ml-clear-18-415-perfumespray|sleek-100ml-clear-18-415-reducer,convex_widthaxis_corrected_by_site(was=78.0)×38,149 ±2 mm×38,78 ±1 mm×38
Slim,30,87,30,30.0,square,equal-to-width(square-section),39,Clear,Dropper|Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer,slim-30ml-clear-18-415-antiquespray|slim-30ml-clear-18-415-dropper|slim-30ml-clear-18-415-lotionpump|slim-30ml-clear-18-415-perfumespray|slim-30ml-clear-18-415-reducer,convex_widthaxis_corrected_by_site(was=33.0)×7,87 ±1 mm×37|87×2,30 ±0.5 mm×32|33 ±0.5 mm×7
Slim,50,121,31,31.0,square,equal-to-width(square-section),44,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,slim-50ml-clear-18-415-antiquespray|slim-50ml-clear-18-415-antiquespray-tassel|slim-50ml-clear-18-415-lotionpump|slim-50ml-clear-18-415-perfumespray|slim-50ml-clear-18-415-reducer,convex_widthaxis_corrected_by_site(was=72.0)×7,121 ±2 mm×44,31 ±0.5 mm×37|72 ±1 mm×7
Slim,50,121,30,30.0,square,equal-to-width(square-section),1,Clear,Vintage Bulb Sprayer,slim-50ml-clear-18-415-antiquespray,h:group_outlier_unresolved×1;convex_height_corrected_by_site(was=85.0)×1,85 ±1 mm×1,30 ±0.5 mm×1
Slim,100,154,35,35.0,square,equal-to-width(square-section),6,Clear,Lotion Pump,slim-100ml-clear-18-415-lotionpump,,154 ±2 mm×6,35 ±0.5 mm×6
Slim,100,154,37,37.0,square,equal-to-width(square-section),39,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,slim-100ml-clear-18-415-antiquespray|slim-100ml-clear-18-415-antiquespray-tassel|slim-100ml-clear-18-415-lotionpump|slim-100ml-clear-18-415-perfumespray|slim-100ml-clear-18-415-reducer,d:group_outlier_unresolved×2;h:group_outlier_unresolved×2;convex_widthaxis_corrected_by_site(was=32.0)×2;convex_height_corrected_by_site(was=125.0)×1;convex_height_corrected_by_site(was=120.0)×1,154 ±2 mm×37|125 ±1 mm×1|120 ±1 mm×1,37 ±0.5 mm×37|32 ±0.5 mm×2
Square,15,52,26,26.0,square,equal-to-width(square-section),29,Clear,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,square-15ml-clear-13-415|square-15ml-clear-13-415-finemist|square-15ml-clear-13-415-rollon,convex_widthaxis_corrected_by_site(was=30.0)×29,52 ±1 mm×29,30 ±0.5 mm×29
Tall Cylinder,9,106,18,18.0,round,equal-to-diameter(circular),1,Clear,Cap/Closure,tall-cylinder-9ml-clear-13-415-capclosure,,106 ±2 mm×1,18 ±0.5 mm×1
Teardrop,9,43,20,20.0,round,equal-to-diameter(circular),3,Clear|Cobalt Blue|Green,Glass Stopper,teardrop-9ml-clear-Ground-glassapplicator|teardrop-9ml-cobalt-blue-Ground-glassapplicator|teardrop-9ml-green-Ground-glassapplicator,,43 ±0.5 mm×3,20 ±0.5 mm×3
Tulip,5,45,23,23.0,round,equal-to-diameter(circular),30,Amber,Fine Mist Sprayer|Metal Roller Ball|Plastic Roller Ball,tulip-5ml-amber-13-415|tulip-5ml-amber-13-415-finemist|tulip-5ml-amber-13-415-rollon,d:group_outlier_unresolved×5;h:group_outlier_unresolved×5;convex_height_corrected_by_site(was=61.0)×5;convex_widthaxis_corrected_by_site(was=17.0)×5,45 ±0.5 mm×25|61 ±1 mm×5,23 ±0.5 mm×25|17 ±0.5 mm×5
Tulip,6,45,23,23.0,round,equal-to-diameter(circular),30,Clear,Fine Mist Sprayer|Metal Roller Ball|N/A|Plastic Roller Ball,tulip-6ml-clear-13-415|tulip-6ml-clear-13-415-finemist|tulip-6ml-clear-13-415-rollon,h:group_outlier_unresolved×8;convex_height_corrected_by_site(was=60.0)×8;d:group_outlier_unresolved×1;d:inch_conversion_artifact×1;h:missing_filled_from_group×1;convex_widthaxis_corrected_by_site(was=25.4)×1,45 ±0.5 mm×21|60 ±1 mm×8|None×1,23 ±0.5 mm×29|25.4×1
Vial,1,35,8,8.0,round,equal-to-diameter(circular),4,Amber|Clear,,vial-1ml-amber-Plug|vial-1ml-clear-Plug,,35 ±0.5 mm×4,8 ± 0.1 mm×4
Vial,2,22,16,16.0,round,equal-to-diameter(circular),1,Amber,,vial-2ml-amber-13-425,,22 ±0.5 mm×1,16 ±0.5 mm×1
Vial,2,35,12,12.0,round,equal-to-diameter(circular),4,Clear,,vial-2ml-clear-8-425,,35 ±0.5 mm×4,12 ±0.5 mm×4
Vial,3,27,15,15.0,round,equal-to-diameter(circular),1,Cobalt Blue,,vial-3ml-cobalt-blue-13-425,d:override_applied×1;h:override_applied×1,None×1,22×1
Vial,3,29,14,14.0,round,equal-to-diameter(circular),2,Clear|Green,,vial-3ml-clear-13-425|vial-3ml-green-13-425,convex_height_corrected_by_site(was=60.0)×1;convex_widthaxis_corrected_by_site(was=22.0)×1,29 ±0.5 mm×1|60 ±1 mm×1,14 ±0.5 mm×1|22 ±0.5 mm×1
Vial,4,45,15,15.0,round,equal-to-diameter(circular),12,Clear,Dropper,vial-4ml-clear-13-425|vial-4ml-clear-13-425-dropper,convex_height_corrected_by_site(was=35.0)×1,45 ±0.5 mm×11|35 ±1 mm×1,15 ±0.5 mm×12
