family,sku,capacityMl,color,applicator,slots,issues,builderStatus
Circle,GBCrclFrst50RdcrIvyLthr,50,Frosted,Reducer,body; cap,,compatibility_unresolved
Circle,GBCrcl50AnSpPnk,50,Clear,Vintage Bulb Sprayer,,no_served_kit,listed
Circle,GBCrcl50AnSpTslLvn,50,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl50AnSpTslIvySl,50,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl50AnSpTslPnk,50,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl50AnSpTslRed,50,Clear,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit,listed
Circle,GBCrcl50AnSpTslMtSl,50,Clear,Vintage Bulb Sprayer,sprayer; diptube; body,not_in_filtered_pdp,listed
Circle,GBCrclFrst50DrpCu,50,Frosted,Dropper,,no_served_kit,compatibility_unresolved
Circle,GBCrcl50AnSpTslGl,50,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,LBCrcl100LtnCu,100,Clear,Lotion Pump,,no_served_kit,listed
Circle,LBCrclFrst100LtnCu,100,Frosted,Lotion Pump,,no_served_kit,listed
Circle,GBCrcl30SpryShnGl,30,Clear,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrcl30SpryMattSl,30,Clear,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrcl30SpryMattGl,30,Clear,Perfume Spray Pump,,no_served_kit,listed
Circle,LBCrclFrst50LtnClOvrCap,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,GBCrclFrst50AnSpTslBlk,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslGl,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslIvyGl,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslIvySl,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslLvn,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslMtSl,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslPnk,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslRed,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrclFrst50AnSpTslWht,50,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrcl15CuSht,15,Clear,,,no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrcl15GlMattSht,15,Clear,,,no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrcl15SlMattSht,15,Clear,,,no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrcl15BlkShSht,15,Clear,,,no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrcl15GlSht,15,Clear,,,no_served_kit; no_served_plate,compatibility_unresolved
Circle,GBCrcl15SlSht,15,Clear,,,no_served_kit; no_served_plate,compatibility_unresolved
Round,GBRndFrst128AnSpTslRed,128,Frosted,Vintage Bulb Sprayer,body; sprayer,not_in_filtered_pdp,listed
Round,GBRndFrst128AnSpTslGl,128,Frosted,Vintage Bulb Sprayer,body; sprayer,not_in_filtered_pdp,listed
Round,GBRndFrst128AnSpTslIvyGl,128,Frosted,Vintage Bulb Sprayer,body; sprayer,not_in_filtered_pdp,listed
Round,GBRndFrst128AnSpTslIvySl,128,Frosted,Vintage Bulb Sprayer,body; sprayer,not_in_filtered_pdp,listed
Round,GBRndFrst128AnSpTslLvn,128,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit,listed
Round,GBRndFrst128AnSpTslPnk,128,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit,listed
Round,GBRndFrst128AnSpTslWht,128,Frosted,Vintage Bulb Sprayer,body; sprayer,not_in_filtered_pdp,listed
Round,LBRnd128LtnClOvrCap,128,Clear,Lotion Pump,,no_served_kit,listed
Round,GBRndFrst128AnSpTslMtSl,128,Frosted,Vintage Bulb Sprayer,diptube; body; sprayer,not_in_filtered_pdp,listed
Round,LBRndFrst128LtnClOvrCap,128,Frosted,Lotion Pump,,no_served_kit,listed
Round,LBRndFrst128LtnMtGl,128,Frosted,Lotion Pump,,no_served_kit,listed
Round,LBRndFrst128LtnShnSl,128,Frosted,Lotion Pump,,no_served_kit,listed
Round,LBRndFrst128LtnCu,128,Frosted,Lotion Pump,,no_served_kit,listed
Round,GBRndFrst128SpryCu,128,Frosted,Perfume Spray Pump,,no_served_kit,listed
Round,GBRnd128DrpSl,128,Clear,Dropper,body; pipette,,compatibility_unresolved
Round,GBRnd128DrpGl,128,Clear,Dropper,body; pipette,,compatibility_unresolved
Round,GBRndFrst128DrpSl,128,Frosted,Dropper,,no_served_kit,compatibility_unresolved
Round,GBRndFrst128DrpGl,128,Frosted,Dropper,,no_served_kit,compatibility_unresolved
Round,GBRnd128RdcrShnBlk,128,Clear,Reducer,body; cap,,compatibility_unresolved
